Unnamed: 0,ATL,OAK
First Downs,27,29
Rush-Yds-TDs,29-139-1,25-155-1
Cmp-Att-Yd-TD-INT,26-34-396-3-1,34-45-299-3-0
Sacked-Yards,1-7,1-0
Net Pass Yards,389,299
Total Yards,528,454
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,7-73,9-58
Third Down Conv.,5-10,5-12
Fourth Down Conv.,0-0,1-2
Time of Possession,27:15,32:45
