Quarter,Time,Down,ToGo,Location,ATL,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ATL 25,0,0,Matt Ryan pass complete short right to Julio Jones for 9 yards (tackle by David Amerson),0.610,1.280
1,14:32,2,1,ATL 34,0,0,Devonta Freeman left tackle for 8 yards (tackle by Reggie Nelson),1.280,1.730
1,14:08,1,10,ATL 42,0,0,Matt Ryan sacked by Stacy McGee for -7 yards,1.730,0.240
1,13:27,2,17,ATL 35,0,0,Matt Ryan pass complete short middle to Jacob Tamme for 14 yards (tackle by Keith McGill),0.240,1.420
1,12:46,3,3,ATL 49,0,0,"Penalty on Jihad Ward: Defensive Offside, 5 yards (no play)",1.420,2.520
1,12:42,1,10,OAK 46,0,0,Devonta Freeman left end for 7 yards (tackle by Ben Heeney and Stacy McGee),2.520,2.920
1,12:09,2,3,OAK 39,0,0,Devonta Freeman right tackle for 3 yards (tackle by Keith McGill),2.920,3.180
1,11:39,1,10,OAK 36,0,0,Tevin Coleman middle for 6 yards (tackle by Stacy McGee),3.180,3.450
1,11:39,2,4,OAK 30,0,0,"Penalty on Ryan Schraeder: False Start, 5 yards (no play)",3.450,2.770
1,10:54,2,9,OAK 35,0,0,Matt Ryan pass incomplete short middle intended for Justin Hardy,2.770,2.080
1,10:51,3,9,OAK 35,0,0,Matt Ryan pass incomplete short middle intended for Jacob Tamme,2.080,0.970
1,10:46,4,9,OAK 35,0,0,"Matthew Bosher punts 29 yards, fair catch by T.J. Carrie",0.970,0.380
1,10:39,1,10,OAK 6,0,0,Derek Carr pass complete short right to Lee Smith for 7 yards (tackle by Deion Jones),-0.380,-0.270
1,10:04,2,3,OAK 13,0,0,Latavius Murray middle for 9 yards (tackle by Ricardo Allen),-0.270,0.410
1,9:23,1,10,OAK 22,0,0,Jalen Richard middle for 4 yards (tackle by Robert Alford),0.410,0.410
1,8:46,2,6,OAK 26,0,0,Derek Carr pass complete short right to Lee Smith for 1 yard (tackle by Sean Weatherspoon),0.410,-0.160
1,8:09,3,5,OAK 27,0,0,Derek Carr pass complete short right to Clive Walford for 2 yards (tackle by Kemal Ishmael),-0.160,-1.440
1,7:28,4,3,OAK 29,0,0,"Marquette King punts 64 yards, returned by Eric Weems for 1 yard (tackle by Brynden Trawick). Penalty on LaRoy Reynolds: Offensive Holding, 3 yards",-1.440,0.380
1,7:16,1,10,ATL 4,0,0,Matt Ryan pass incomplete short middle intended for Aldrick Robinson (defended by David Amerson),-0.380,-0.780
1,7:11,2,10,ATL 4,0,0,Tevin Coleman middle for no gain (tackle by Ben Heeney and Khalil Mack),-0.780,-1.420
1,6:30,3,10,ATL 4,0,0,Matt Ryan pass complete short right to Taylor Gabriel for 11 yards (tackle by David Amerson),-1.420,-0.220
1,5:49,1,10,ATL 15,0,0,Tevin Coleman middle for 6 yards (tackle by Malcolm Smith),-0.220,0.210
1,5:15,2,4,ATL 21,0,0,Tevin Coleman left tackle for no gain (tackle by Bruce Irvin and Denico Autry),0.210,-0.630
1,4:34,3,4,ATL 21,0,0,Matt Ryan pass incomplete short left intended for Justin Hardy (defended by David Amerson),-0.630,-1.960
1,4:27,4,4,ATL 21,0,0,"Matthew Bosher punts 43 yards, returned by Jalen Richard for no gain",-1.960,-1.330
1,4:18,1,10,OAK 36,0,0,Derek Carr pass complete short left to Amari Cooper for 5 yards (tackle by Deion Jones),1.330,1.470
1,3:47,2,5,OAK 41,0,0,Derek Carr pass incomplete short left intended for Amari Cooper,1.470,0.760
1,3:43,3,5,OAK 41,0,0,"Penalty on Derrick Shelby: Neutral Zone Infraction, 5 yards (no play)",0.760,1.990
1,3:30,1,10,OAK 46,0,0,DeAndre Washington right guard for 2 yards (tackle by Grady Jarrett),1.990,1.720
1,2:48,2,8,OAK 48,0,0,Jalen Richard left guard for 3 yards (tackle by Sean Weatherspoon),1.720,1.420
1,2:07,3,5,ATL 49,0,0,Derek Carr pass incomplete short middle intended for Amari Cooper (defended by Desmond Trufant),1.420,0.000
1,2:02,4,5,ATL 49,0,0,Marquette King punts 40 yards,0.000,0.380
1,1:53,1,10,ATL 9,0,0,Devonta Freeman middle for 11 yards (tackle by Keith McGill),-0.380,0.280
1,1:28,1,10,ATL 20,0,0,Devonta Freeman right tackle for 6 yards (tackle by Reggie Nelson and David Amerson),0.280,0.540
1,1:08,2,4,ATL 26,0,0,Matt Ryan pass complete short right to Jacob Tamme for 15 yards (tackle by Reggie Nelson),0.540,1.660
1,0:35,1,10,ATL 41,0,0,Tevin Coleman middle for 6 yards (tackle by Malcolm Smith),1.660,1.930
1,0:13,2,4,ATL 47,0,0,Matt Ryan pass complete short left to Austin Hooper for 6 yards (tackle by Keith McGill),1.930,2.460
Quarter,Time,Down,ToGo,Location,ATL,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 47,0,0,Matt Ryan pass complete deep right to Aldrick Robinson for 20 yards (tackle by David Amerson),2.460,3.780
2,14:32,1,10,OAK 27,0,0,Matt Ryan pass complete short left to Levine Toilolo for 16 yards (tackle by Reggie Nelson),3.780,4.840
2,14:06,1,10,OAK 11,0,0,Devonta Freeman middle for 3 yards (tackle by Malcolm Smith and Darius Latham),4.840,4.700
2,13:22,2,7,OAK 8,0,0,Devonta Freeman middle for 3 yards (tackle by Khalil Mack),4.700,4.440
2,12:40,3,4,OAK 5,0,0,Matt Ryan pass complete short left to Mohamed Sanu for 2 yards (tackle by Sean Smith),4.440,3.050
2,12:01,4,2,OAK 3,3,0,Matt Bryant 21 yard field goal good,3.050,3.000
2,12:01,,,ATL 35,3,0,"Matthew Bosher kicks off 68 yards, returned by Taiwan Jones for 32 yards (tackle by Eric Weems). Penalty on Clive Walford: Illegal Block Above the Waist, 9 yards",0.000,0.380
2,11:50,1,10,OAK 9,3,0,Derek Carr pass complete short middle to Michael Crabtree for 10 yards (tackle by Deion Jones),-0.380,0.150
2,11:11,1,10,OAK 19,3,0,Derek Carr for 5 yards (tackle by Kemal Ishmael),0.150,0.340
2,10:36,2,5,OAK 24,3,0,Derek Carr pass complete short right to Latavius Murray for 10 yards (tackle by Sean Weatherspoon and Deion Jones),0.340,1.200
2,9:51,1,10,OAK 34,3,0,Jalen Richard middle for 1 yard (tackle by Grady Jarrett),1.200,0.790
2,9:09,2,9,OAK 35,3,0,Derek Carr pass complete short left to Seth Roberts for 3 yards (tackle by Ricardo Allen),0.790,0.500
2,8:35,3,6,OAK 38,3,0,Derek Carr pass complete deep middle to Amari Cooper for 25 yards (tackle by Desmond Trufant),0.500,3.120
2,8:06,1,10,ATL 37,3,0,"Derek Carr pass incomplete deep middle intended for Michael Crabtree is intercepted by Robert Alford at ATL--5 and returned for 20 yards. Penalty on Robert Alford: Defensive Pass Interference, 36 yards (no play)",3.120,6.970
2,7:54,1,1,ATL 1,3,6,"Latavius Murray left guard for 1 yard, touchdown",6.970,7.000
2,7:54,,,ATL 1,3,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,7:54,,,OAK 35,3,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
2,7:51,1,10,ATL 25,3,7,Matt Ryan pass complete short middle to Jacob Tamme for 13 yards (tackle by Keith McGill and Reggie Nelson),0.610,1.470
2,7:29,1,10,ATL 38,3,7,Matt Ryan pass incomplete deep left intended for Mohamed Sanu,1.470,0.920
2,7:25,2,10,ATL 38,3,7,Matt Ryan pass complete short middle to Jacob Tamme for 19 yards (tackle by Reggie Nelson),0.920,2.720
2,6:59,1,10,OAK 43,3,7,Matt Ryan pass incomplete short left intended for Jacob Tamme,2.720,2.180
2,6:54,2,10,OAK 43,3,7,Matt Ryan pass incomplete short middle intended for Mohamed Sanu,2.180,1.490
2,6:50,3,10,OAK 43,3,7,Matt Ryan pass complete short middle to Aldrick Robinson for 10 yards (tackle by D.J. Hayden),1.490,3.380
2,6:29,1,10,OAK 33,3,7,Devonta Freeman middle for 9 yards (tackle by David Amerson),3.380,4.050
2,5:48,2,1,OAK 24,3,7,Devonta Freeman middle for 2 yards (tackle by Jihad Ward and Malcolm Smith),4.050,4.110
2,5:20,1,10,OAK 22,3,7,Devonta Freeman middle for 1 yard (tackle by Khalil Mack),4.110,3.700
2,4:51,2,9,OAK 21,9,7,"Matt Ryan pass complete short middle to Julio Jones for 21 yards, touchdown",3.700,7.000
2,4:51,,,OAK 21,10,7,Matt Bryant kicks extra point good,0.000,0.000
2,4:51,,,ATL 35,10,7,"Matthew Bosher kicks off 69 yards, muffed catch by Taiwan Jones, recovered by Taiwan Jones and returned for no gain",0.000,0.380
2,4:40,1,10,OAK 2,10,7,Derek Carr pass complete short left to Michael Crabtree for 9 yards (tackle by Kemal Ishmael),-0.380,-0.120
2,4:06,2,1,OAK 11,10,7,DeAndre Washington middle for 26 yards (tackle by Ricardo Allen),-0.120,1.400
2,3:25,1,10,OAK 37,10,7,Derek Carr pass complete short right to DeAndre Washington for 6 yards (tackle by Kemal Ishmael),1.400,1.670
2,2:43,2,4,OAK 43,10,7,"Jalen Richard left tackle for 4 yards (tackle by Deion Jones and Vic Beasley). Penalty on Lee Smith: Offensive Holding, 10 yards (no play)",1.670,0.320
2,2:29,2,14,OAK 33,10,7,Derek Carr sacked by Vic Beasley for 0 yards,0.320,-0.360
2,2:00,3,14,OAK 33,10,7,Derek Carr pass complete short right to Clive Walford for 3 yards (tackle by Sean Weatherspoon),-0.360,-0.360
2,1:53,3,14,OAK 33,10,7,Timeout #1 by Atlanta Falcons,-0.360,-0.980
2,1:53,4,11,OAK 36,10,7,"Marquette King punts 55 yards, returned by Eric Weems for 73 yards (tackle by Marquette King). Penalty on Marquette King: Horse Collar Tackle, 9 yards",-0.980,-5.140
2,1:33,1,9,OAK 9,10,7,Tevin Coleman right guard for 3 yards (tackle by Ben Heeney and Bruce Irvin),5.140,4.950
2,0:55,2,6,OAK 6,10,7,Tevin Coleman left end for 3 yards (tackle by Sean Smith),4.950,4.720
2,0:49,3,3,OAK 3,10,7,Matt Ryan pass complete short right to Tevin Coleman for 1 yard (tackle by Malcolm Smith),4.720,4.720
