Quarter,Time,Tm,Detail,ATL,OAK
2.0,11:58,Falcons,Matt Bryant 21 yard field goal,3,0
,7:51,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),3,7
,4:46,Falcons,Julio Jones 21 yard pass from Matt Ryan (Matt Bryant kick),10,7
,0:38,Falcons,Matt Bryant 20 yard field goal,13,7
3.0,11:17,Raiders,Clive Walford 31 yard pass from Derek Carr (Sebastian Janikowski kick),13,14
,3:42,Falcons,Jacob Tamme 14 yard pass from Matt Ryan (Matt Ryan run),21,14
4.0,12:00,Raiders,Michael Crabtree 2 yard pass from Derek Carr (Sebastian Janikowski kick),21,21
,9:29,Falcons,Justin Hardy 8 yard pass from Matt Ryan (Matt Bryant kick),28,21
,4:35,Falcons,Tevin Coleman 13 yard rush (Matt Bryant kick),35,21
,2:12,Raiders,Andre Holmes 6 yard pass from Derek Carr (Sebastian Janikowski kick),35,28
