Unnamed: 0,SDG,GNB
First Downs,32,17
Rush-Yds-TDs,21-60-0,17-133-1
Cmp-Att-Yd-TD-INT,43-65-503-2-0,16-29-255-2-0
Sacked-Yards,3-15,3-18
Net Pass Yards,488,237
Total Yards,548,370
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,9-76,6-50
Third Down Conv.,9-18,3-9
Fourth Down Conv.,1-3,0-0
Time of Possession,38:00,22:00
