Quarter,Time,Down,ToGo,Location,SDG,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,SDG 20,0,0,Philip Rivers pass complete short left to Keenan Allen for 7 yards (tackle by Sam Shields),0.280,0.680
1,14:28,2,3,SDG 27,0,0,Philip Rivers pass complete short middle to Keenan Allen for 6 yards (tackle by Sam Shields),0.680,1.140
1,13:53,1,10,SDG 33,0,0,Philip Rivers pass complete short middle to Keenan Allen for 9 yards (tackle by Damarious Randall),1.140,1.810
1,13:19,2,1,SDG 42,0,0,Melvin Gordon left tackle for -2 yards (tackle by Casey Hayward),1.810,0.830
1,12:38,3,3,SDG 40,0,0,Philip Rivers pass incomplete deep left intended for Malcom Floyd,0.830,-0.720
1,12:34,4,3,SDG 40,0,0,"Mike Scifres punts 39 yards, returned by Micah Hyde for 2 yards (tackle by Darrell Stuckey). Penalty on Chris Banjo: Illegal Block Above the Waist, 10 yards",-0.720,0.320
1,12:23,1,10,GNB 13,0,0,James Starks right tackle for 25 yards (tackle by Denzel Perryman),-0.320,1.470
1,11:53,1,10,GNB 38,0,0,Aaron Rodgers pass complete short right to James Jones for 22 yards (tackle by Denzel Perryman),1.470,2.920
1,11:39,1,10,SDG 40,0,0,Aaron Rodgers pass complete short middle to Eddie Lacy for 5 yards (tackle by Donald Butler),2.920,3.050
1,11:15,2,5,SDG 35,0,0,Eddie Lacy right end for 3 yards (tackle by Denzel Perryman and Kendall Reyes),3.050,2.740
1,10:43,3,2,SDG 32,0,0,"Penalty on Randall Cobb: False Start, 5 yards (no play)",2.740,2.080
1,10:19,3,7,SDG 37,0,0,Aaron Rodgers middle for 15 yards (tackle by Eric Weddle),2.080,4.110
1,10:00,1,10,SDG 22,0,0,"Aaron Rodgers pass incomplete deep middle intended for James Jones (defended by Patrick Robinson). Penalty on Jimmy Wilson: Defensive 12 On-field (Offsetting), Penalty on James Jones: Illegal Shift (Offsetting) (no play)",4.110,4.110
1,9:56,1,10,SDG 22,0,0,Aaron Rodgers pass complete short middle to Randall Cobb for 12 yards (tackle by Patrick Robinson and Jahleel Addae),4.110,4.910
1,9:23,1,10,SDG 10,0,0,Aaron Rodgers pass complete short left to Ty Montgomery for 5 yards (tackle by Jason Verrett),4.910,5.150
1,8:44,2,5,SDG 5,0,6,"Aaron Rodgers pass complete short middle to James Starks for 5 yards, touchdown",5.150,7.000
1,8:44,,,SDG 5,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,8:44,,,GNB 35,0,7,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,8:38,1,10,SDG 20,0,7,Philip Rivers pass complete short left to Keenan Allen for 9 yards (tackle by Ha Ha Clinton-Dix),0.280,0.950
