Quarter,Time,Tm,Detail,SDG,GNB
1.0,8:38,Packers,James Starks 5 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,3:17,Chargers,Josh Lambo 36 yard field goal,3,7
,1:51,Packers,James Starks 65 yard rush (Mason Crosby kick),3,14
2.0,6:48,Packers,Mason Crosby 23 yard field goal,3,17
,0:00,Chargers,Dontrelle Inman 1 yard pass from Philip Rivers (Josh Lambo kick),10,17
3.0,9:24,Chargers,Ladarius Green 19 yard pass from Philip Rivers (Josh Lambo kick),17,17
,0:46,Packers,James Jones 8 yard pass from Aaron Rodgers (Mason Crosby kick),17,24
4.0,11:10,Chargers,Josh Lambo 32 yard field goal,20,24
,2:37,Packers,Mason Crosby 28 yard field goal,20,27
