Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CAR 20,0,0,DeAngelo Williams left end for 7 yards (tackle by Malcolm Jenkins),0.280,0.680
1,14:25,2,3,CAR 27,0,0,Mike Tolbert left guard for 1 yard (tackle by Junior Galette and David Hawthorne),0.680,0.100
1,13:45,3,2,CAR 28,0,0,Cam Newton pass complete short left to Brandon LaFell for 11 yards (tackle by Keenan Lewis),0.100,1.530
1,13:10,1,10,CAR 39,0,0,Cam Newton pass incomplete short right intended for Ted Ginn,1.530,0.990
1,13:07,2,10,CAR 39,0,0,Cam Newton pass complete short middle to Steve Smith for 4 yards (tackle by Curtis Lofton),0.990,0.830
1,12:29,3,6,CAR 43,0,0,Cam Newton right end for 19 yards (tackle by Malcolm Jenkins and Corey White),0.830,3.050
1,11:54,1,10,NOR 38,0,0,Cam Newton pass complete short left to Greg Olsen for no gain,3.050,2.510
1,11:09,2,10,NOR 38,0,0,DeAngelo Williams left end for 1 yard (tackle by Akiem Hicks),2.510,1.950
1,10:27,3,9,NOR 37,0,0,Cam Newton pass complete short middle to Steve Smith for 11 yards (tackle by Roman Harper),1.950,3.840
1,10:01,1,10,NOR 26,0,0,Cam Newton pass incomplete short left intended for DeAngelo Williams,3.840,3.300
1,9:55,2,10,NOR 26,0,0,Cam Newton right tackle for 6 yards (tackle by John Jenkins and David Hawthorne),3.300,3.400
1,9:12,3,4,NOR 20,0,0,Cam Newton sacked by Junior Galette for -7 yards,3.400,1.670
1,8:47,4,11,NOR 27,3,0,Graham Gano 45 yard field goal good,1.670,3.000
1,8:47,,,CAR 35,3,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,8:42,1,10,NOR 20,3,0,Drew Brees up the middle for 4 yards (tackle by Charles Johnson),0.280,0.270
1,8:08,2,6,NOR 24,3,0,Drew Brees pass complete short left to Darren Sproles for 1 yard (tackle by Michael Mitchell),0.270,-0.300
1,7:30,3,5,NOR 25,3,0,Drew Brees pass incomplete short left intended for Marques Colston,-0.300,-1.700
1,7:26,4,5,NOR 25,3,0,"Thomas Morstead punts 54 yards, returned by Ted Ginn for 32 yards (tackle by Thomas Morstead). Penalty on Thomas Morstead: Face Mask (15 Yards), 15 yards",-1.700,-3.450
1,7:08,1,10,NOR 32,3,0,DeAngelo Williams right guard for 9 yards (tackle by Malcolm Jenkins),3.450,4.120
1,6:25,2,1,NOR 23,3,0,DeAngelo Williams right guard for 2 yards (tackle by John Jenkins),4.120,4.170
1,5:42,1,10,NOR 21,3,0,DeAngelo Williams left guard for 1 yard (tackle by Curtis Lofton),4.170,3.760
1,5:02,2,9,NOR 20,3,0,Cam Newton pass complete short left to Ted Ginn for 3 yards (tackle by Kenny Vaccaro),3.760,3.460
1,4:14,3,6,NOR 17,3,0,Mike Tolbert left guard for 7 yards (tackle by Kenny Vaccaro),3.460,4.910
1,3:29,1,10,NOR 10,3,0,Cam Newton right end for -2 yards (tackle by Malcolm Jenkins),4.910,3.860
1,2:47,2,12,NOR 12,3,0,Cam Newton pass complete short right to Mike Tolbert for 6 yards (tackle by David Hawthorne),3.860,4.040
1,2:04,3,6,NOR 6,3,0,Cam Newton pass incomplete short right intended for Greg Olsen,4.040,2.990
1,1:59,4,6,NOR 6,6,0,Graham Gano 24 yard field goal good,2.990,3.000
1,1:59,,,CAR 35,6,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,1:56,1,10,NOR 20,6,0,Drew Brees pass incomplete short right intended for Marques Colston,0.280,-0.270
1,1:52,2,10,NOR 20,6,0,Mark Ingram right guard for 1 yard (tackle by Quintin Mikell),-0.270,-0.820
1,1:09,3,9,NOR 21,6,0,Drew Brees pass complete short left to Marques Colston for 21 yards (tackle by Melvin White),-0.820,1.730
1,0:44,1,10,NOR 42,6,0,Darren Sproles for 38 yards (tackle by Thomas Davis),1.730,4.240
1,0:14,1,10,CAR 20,6,0,Drew Brees pass complete short left to Pierre Thomas for 2 yards (tackle by Kawann Short),4.240,3.960
Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,CAR 18,6,0,Drew Brees pass incomplete deep right intended for Lance Moore (defended by Michael Mitchell),3.960,3.220
2,14:55,3,8,CAR 18,6,0,Drew Brees pass complete short middle to Lance Moore for 8 yards (tackle by Thomas Davis),3.220,4.910
2,14:17,1,10,CAR 10,6,0,Pierre Thomas left guard for 4 yards (tackle by Luke Kuechly and Michael Mitchell),4.910,4.950
2,13:40,2,6,CAR 6,6,6,"Drew Brees pass complete short right to Marques Colston for 6 yards, touchdown",4.950,7.000
2,13:40,,,CAR 2,6,7,Garrett Hartley kicks extra point good,0.000,0.000
2,13:40,,,NOR 35,6,7,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
2,13:35,1,10,CAR 20,6,7,DeAngelo Williams right guard for 5 yards (tackle by Curtis Lofton and Malcolm Jenkins),0.280,0.410
2,12:54,2,5,CAR 25,6,7,DeAngelo Williams left end for 7 yards (tackle by David Hawthorne),0.410,1.070
2,12:12,1,10,CAR 32,6,7,DeAngelo Williams left guard for 3 yards (tackle by David Hawthorne),1.070,0.930
