Unnamed: 0,CAR,NOR
First Downs,16,24
Rush-Yds-TDs,23-128-0,17-69-0
Cmp-Att-Yd-TD-INT,22-34-160-1-0,30-42-313-4-0
Sacked-Yards,5-49,2-9
Net Pass Yards,111,304
Total Yards,239,373
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,5-35,5-45
Third Down Conv.,6-15,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,32:27,27:33
