Quarter,Time,Tm,Detail,CAR,NOR
1.0,8:42,Panthers,Graham Gano 45 yard field goal,3,0
,1:56,Panthers,Graham Gano 24 yard field goal,6,0
2.0,13:35,Saints,Marques Colston 6 yard pass from Drew Brees (Garrett Hartley kick),6,7
,2:44,Saints,Marques Colston 15 yard pass from Drew Brees (Garrett Hartley kick),6,14
,0:18,Saints,Jimmy Graham 5 yard pass from Drew Brees (Garrett Hartley kick),6,21
3.0,4:18,Saints,Garrett Hartley 19 yard field goal,6,24
4.0,9:52,Saints,Jimmy Graham 8 yard pass from Drew Brees (Garrett Hartley kick),6,31
,5:15,Panthers,Steve Smith Sr. 17 yard pass from Cam Newton (Graham Gano kick),13,31
