Quarter,Time,Tm,Detail,OAK,DEN
1.0,10:44,Raiders,Zach Miller 43 yard pass from Jason Campbell (Sebastian Janikowski kick),7,0
,10:36,Raiders,Chris Johnson 30 yard interception return (Sebastian Janikowski kick),14,0
,8:58,Raiders,Darren McFadden 4 yard rush (Sebastian Janikowski kick),21,0
,4:20,Raiders,Sebastian Janikowski 31 yard field goal,24,0
2.0,14:36,Raiders,Darren McFadden 19 yard pass from Jason Campbell (Sebastian Janikowski kick),31,0
,7:58,Raiders,Darren McFadden 4 yard rush (Sebastian Janikowski kick),38,0
,1:56,Broncos,Knowshon Moreno 7 yard pass from Kyle Orton (Matt Prater kick),38,7
3.0,13:34,Broncos,Knowshon Moreno 27 yard pass from Kyle Orton (Matt Prater kick),38,14
,7:33,Raiders,Marcel Reece 1 yard rush (Sebastian Janikowski kick),45,14
,5:28,Raiders,Darren McFadden 57 yard rush (Sebastian Janikowski kick),52,14
,0:27,Raiders,Michael Bush 1 yard rush (Sebastian Janikowski kick),59,14
