Unnamed: 0,OAK,DEN
First Downs,29,11
Rush-Yds-TDs,52-328-5,17-75-0
Cmp-Att-Yd-TD-INT,12-20-204-2-0,12-29-198-2-1
Sacked-Yards,2-24,4-33
Net Pass Yards,180,165
Total Yards,508,240
Fumbles-Lost,1-0,5-2
Turnovers,0,3
Penalties-Yards,10-94,5-64
Third Down Conv.,6-13,2-11
Fourth Down Conv.,1-1,0-2
Time of Possession,38:39,21:21
