Quarter,Time,Tm,Detail,HOU,SFO
1.0,13:30,49ers,Tramaine Brock 18 yard interception return (Phil Dawson kick),0,7
,1:37,49ers,Frank Gore 1 yard rush (Phil Dawson kick),0,14
2.0,5:03,49ers,Anthony Dixon 2 yard rush (Phil Dawson kick),0,21
3.0,12:01,Texans,Randy Bullock 41 yard field goal,3,21
,5:15,49ers,Phil Dawson 38 yard field goal,3,24
4.0,14:16,49ers,Vernon Davis 64 yard pass from Colin Kaepernick (Phil Dawson kick),3,31
,10:46,49ers,Phil Dawson 24 yard field goal,3,34
