Unnamed: 0,GNB,SFO
First Downs,19,16
Rush-Yds-TDs,28-117-0,22-112-2
Cmp-Att-Yd-TD-INT,23-37-119-1-0,14-20-253-2-0
Sacked-Yards,5-38,3-26
Net Pass Yards,81,227
Total Yards,198,339
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,5-50,9-78
Third Down Conv.,1-15,3-9
Fourth Down Conv.,1-3,0-0
Time of Possession,35:16,24:44
