Quarter,Time,Down,ToGo,Location,MIN,MIA,Detail,EPB,EPA
1,6:20,1,10,MIA 18,0,0,Skylar Thompson pass complete deep right to Jaylen Waddle for 30 yards (tackle by Eric Kendricks),0.040,2.130
1,5:45,1,10,MIA 48,0,0,Raheem Mostert left end for 16 yards (tackle by Harrison Smith),2.130,3.180
1,5:06,1,10,MIN 36,0,0,Skylar Thompson pass complete short middle to Tyreek Hill for 9 yards (tackle by Jordan Hicks),3.180,3.850
1,4:24,2,1,MIN 27,0,0,Raheem Mostert up the middle for 3 yards (tackle by Jordan Hicks and Eric Kendricks),3.850,3.970
1,3:45,1,10,MIN 24,0,0,"Penalty on Robert Hunt: False Start, 5 yards (accepted) (no play)",3.970,3.640
1,3:24,1,15,MIN 29,0,0,"Skylar Thompson pass complete to Trent Sherfield for no gain. Penalty on Connor Williams: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.640,3.310
1,2:57,1,20,MIN 34,0,0,"Skylar Thompson pass complete to River Cracraft for no gain. Penalty on Liam Eichenberg: Offensive Holding, 10 yards (accepted) (no play)",3.310,2.650
1,2:20,1,30,MIN 44,0,0,Skylar Thompson pass complete short middle to Jaylen Waddle for 18 yards (tackle by Harrison Smith),2.650,3.160
1,1:37,2,12,MIN 26,0,0,"Skylar Thompson pass complete to Tyreek Hill for no gain. Penalty on Alec Ingold: Offensive Pass Interference, 10 yards (accepted) (no play)",3.160,1.810
1,1:08,2,22,MIN 36,0,0,Skylar Thompson pass incomplete short right intended for Tanner Conner,1.810,1.160
1,1:04,3,22,MIN 36,0,0,"Skylar Thompson pass complete short left to Jaylen Waddle for 4 yards (tackle by Patrick Jones and Cameron Dantzler). Penalty on Trent Sherfield: Offensive Holding, 10 yards (accepted)",1.160,0.370
1,0:34,3,28,MIN 42,0,0,Skylar Thompson pass incomplete short right intended for Tyreek Hill,0.370,0.460
1,0:31,4,28,MIN 42,0,0,"Thomas Morstead punts 42 yards, touchback.",0.460,-0.280
1,0:23,1,10,MIN 20,0,0,Kirk Cousins pass incomplete short right intended for Adam Thielen (defended by Xavien Howard),0.280,-0.270
1,0:16,2,10,MIN 20,0,0,Kirk Cousins pass complete short right to K.J. Osborn for 3 yards (tackle by Xavien Howard),-0.270,-0.560
Quarter,Time,Down,ToGo,Location,MIN,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,MIN 23,0,0,Kirk Cousins pass incomplete short middle intended for K.J. Osborn (defended by Brandon Jones),-0.560,-1.830
2,14:55,4,7,MIN 23,0,0,"Ryan Wright punts 49 yards, fair catch by Tyreek Hill at MIA-28",-1.830,-0.810
2,14:47,1,10,MIA 28,0,0,Chase Edmonds right end for 2 yards (tackle by Harrison Phillips),0.810,0.530
2,14:09,2,8,MIA 30,0,0,Skylar Thompson pass incomplete deep left intended for Tyreek Hill,0.530,-0.160
2,14:02,3,8,MIA 30,0,0,Skylar Thompson pass incomplete short left intended for Trent Sherfield (defended by Jordan Hicks),-0.160,-1.370
2,13:58,4,8,MIA 30,0,0,"Thomas Morstead punts 54 yards, returned by Jalen Reagor for no gain (tackle by Keion Crossen)",-1.370,0.140
2,13:48,1,10,MIN 16,0,0,Alexander Mattison up the middle for 3 yards (tackle by Elandon Roberts and Jerome Baker),-0.140,-0.180
2,13:14,2,7,MIN 19,0,0,Kirk Cousins sacked by and Jaelan Phillips for -4 yards and Elandon Roberts for -4 yards,-0.180,-1.470
2,12:32,3,11,MIN 15,0,0,Kirk Cousins pass complete short right to Irv Smith for 4 yards (tackle by Nik Needham and Channing Tindall),-1.470,-2.140
2,11:46,4,7,MIN 19,0,0,Ryan Wright punts 43 yards out of bounds,-2.140,-1.470
2,11:38,1,10,MIA 38,0,0,Raheem Mostert right end for -1 yards (tackle by Danielle Hunter and Jordan Hicks),1.470,0.790
2,10:53,2,11,MIA 37,0,0,Teddy Bridgewater pass complete short middle to Mike Gesicki for 17 yards (tackle by Patrick Peterson),0.790,2.520
2,10:13,1,10,MIN 46,0,0,Raheem Mostert right end for 7 yards (tackle by Jordan Hicks and Chandon Sullivan),2.520,2.920
2,9:33,2,3,MIN 39,0,0,Raheem Mostert left end for 2 yards (tackle by James Lynch),2.920,2.480
2,8:49,3,1,MIN 37,0,0,Alec Ingold left guard for 2 yards (tackle by Jordan Hicks),2.480,3.250
2,8:11,1,10,MIN 35,0,0,Raheem Mostert left guard for 7 yards (tackle by Jordan Hicks),3.250,3.650
2,7:32,2,3,MIN 28,0,0,Raheem Mostert right tackle for 2 yards (tackle by Eric Kendricks),3.650,3.200
2,6:57,3,1,MIN 26,0,0,Teddy Bridgewater sacked by Jordan Hicks for no gain,3.200,1.890
2,6:10,4,1,MIN 26,0,3,Jason Sanders 44 yard field goal good,1.890,3.000
2,6:05,,,MIA 35,0,3,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,6:05,1,10,MIN 25,0,3,Kirk Cousins pass complete short right to Adam Thielen for 14 yards (tackle by Nik Needham),0.610,1.530
2,5:42,1,10,MIN 39,0,3,Kirk Cousins pass complete short left to Adam Thielen for 11 yards (tackle by Jevon Holland),1.530,2.260
2,5:07,1,10,MIN 50,0,3,Kirk Cousins pass complete deep middle to Justin Jefferson for 20 yards (tackle by Jevon Holland),2.260,3.580
2,4:29,1,10,MIA 30,0,3,Dalvin Cook up the middle for 3 yards (tackle by Elandon Roberts and Keion Crossen),3.580,3.440
2,3:51,,,,,,Timeout #1 by Minnesota Vikings,,
2,3:51,2,7,MIA 27,0,3,Kirk Cousins pass complete short left to Johnny Mundt for 1 yard (tackle by Brandon Jones),3.440,2.870
2,3:11,3,6,MIA 26,0,3,"Kirk Cousins pass complete to Justin Jefferson for 24 yards (tackle by Jevon Holland). Penalty on Christian Wilkins: Roughing the Passer, 1 yard (accepted)",2.870,6.970
2,2:37,1,1,MIA 1,6,3,"Kirk Cousins pass complete short middle to Irv Smith for 1 yard, touchdown",6.970,7.000
2,2:32,,,MIA 15,7,3,Greg Joseph kicks extra point good,0.000,0.000
2,2:32,,,MIN 35,7,3,"Greg Joseph kicks off 58 yards, returned by Raheem Mostert for 25 yards (tackle by Luiji Vilain). Penalty on Josh Metellus: Face Mask (15 Yards), 15 yards (accepted)",0.000,2.060
2,2:25,1,10,MIA 47,7,3,Teddy Bridgewater pass incomplete short middle,2.060,1.520
2,2:20,2,10,MIA 47,7,3,Teddy Bridgewater pass incomplete intended for Trent Sherfield,1.520,0.830
2,2:17,3,10,MIA 47,7,3,Teddy Bridgewater pass complete short right to Tyreek Hill for 19 yards (tackle by Chandon Sullivan),0.830,3.310
2,2:00,1,10,MIN 34,7,3,Teddy Bridgewater pass incomplete deep left intended for Tyreek Hill,3.310,2.770
2,1:55,2,10,MIN 34,7,3,Raheem Mostert left end for no gain (tackle by Chandon Sullivan and Eric Kendricks),2.770,2.080
2,1:48,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:48,3,10,MIN 34,7,3,Teddy Bridgewater pass incomplete short left intended for Raheem Mostert,2.080,1.060
2,1:45,4,10,MIN 34,7,3,Jason Sanders 52 yard field goal no good,1.060,-1.730
2,1:40,1,10,MIN 42,7,3,Kirk Cousins sacked by Elandon Roberts for -8 yards,1.730,0.110
2,1:06,2,18,MIN 34,7,3,Kirk Cousins pass complete short right to Justin Jefferson for 14 yards (tackle by Eric Rowe and Brandon Jones),0.110,1.290
2,0:39,3,4,MIN 48,7,3,Kirk Cousins pass incomplete short left intended for K.J. Osborn,1.290,-0.190
2,0:35,4,4,MIN 48,7,3,"Ryan Wright punts 41 yards, fair catch by Jevon Holland at MIA-11",-0.190,0.370
2,0:28,1,10,MIA 11,7,3,Teddy Bridgewater pass complete to Jaylen Waddle for 14 yards (tackle by Eric Kendricks),-0.370,0.610
2,0:23,,,,,,Timeout #1 by Miami Dolphins,,
2,0:23,1,10,MIA 25,7,3,"Teddy Bridgewater pass (defended by Camryn Bynum) intended for Jaylen Waddle is intercepted by Harrison Smith at MIA-41 and returned for no gain Replay Assistant challenged the pass interception ruling, and the play was upheld.",0.610,-2.850
2,0:18,1,10,MIA 41,7,3,"Kirk Cousins pass incomplete intended for Adam Thielen. Penalty on Noah Igbinoghene: Defensive Pass Interference, 21 yards (accepted) (no play)",2.850,4.240
2,0:13,1,10,MIA 20,7,3,Dalvin Cook left guard for 5 yards (tackle by Justin Bethel and Eric Rowe),4.240,4.450
2,0:07,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:07,2,5,MIA 15,7,3,Kirk Cousins pass incomplete,4.450,3.700
2,0:02,3,5,MIA 15,10,3,Greg Joseph 34 yard field goal good,3.700,3.000
Quarter,Time,Down,ToGo,Location,MIN,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,10,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,10,3,Teddy Bridgewater pass complete short right to Alec Ingold for 2 yards (tackle by Danielle Hunter),0.610,0.330
3,14:21,2,8,MIA 27,10,3,Teddy Bridgewater pass complete short left to Tyreek Hill for 7 yards (tackle by Camryn Bynum),0.330,0.560
3,13:41,3,1,MIA 34,10,3,"Raheem Mostert for no gain (tackle by Eric Kendricks) Penalty on MIA: Illegal Formation, 5 yards (declined)",0.560,-1.110
3,13:28,4,1,MIA 34,10,3,Clayton Fejedelem right end for no gain (tackle by Josh Metellus),-1.110,-3.380
3,13:23,1,10,MIA 33,10,3,Kirk Cousins pass complete short middle to Justin Jefferson for -6 yards (tackle by Christian Wilkins),3.380,2.030
3,12:44,2,16,MIA 39,10,3,Dalvin Cook right guard for -1 yards (tackle by Christian Wilkins),2.030,1.220
3,11:59,3,17,MIA 40,10,3,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",1.220,0.560
3,11:46,3,22,MIA 45,10,3,Kirk Cousins pass incomplete short right intended for Justin Jefferson,0.560,0.270
3,11:42,4,22,MIA 45,10,3,"Ryan Wright punts 35 yards, fair catch by Jevon Holland at MIA-10",0.270,0.380
3,11:35,1,10,MIA 10,10,3,Raheem Mostert right end for 3 yards (tackle by Jordan Hicks and Danielle Hunter),-0.380,-0.560
3,10:50,2,7,MIA 13,10,3,Teddy Bridgewater pass complete short left to Raheem Mostert for -1 yards (tackle by Chandon Sullivan),-0.560,-1.190
3,10:09,3,8,MIA 12,10,3,Teddy Bridgewater sacked by Patrick Jones for -3 yards,-1.190,-2.490
3,9:33,4,11,MIA 9,10,3,"Thomas Morstead punts 50 yards, fair catch by Jalen Reagor at MIN-41",-2.490,-1.660
3,9:24,1,10,MIN 41,10,3,Dalvin Cook right tackle for 3 yards (tackle by Emmanuel Ogbah),1.660,1.530
3,8:51,2,7,MIN 44,10,3,Kirk Cousins pass incomplete deep left intended for Adam Thielen (defended by Noah Igbinoghene),1.530,0.830
3,8:43,3,7,MIN 44,10,3,Kirk Cousins pass complete to Irv Smith for 2 yards (tackle by Eric Rowe),0.830,-0.320
3,7:56,4,5,MIN 46,10,3,Ryan Wright punts 42 yards downed by Josh Metellus,-0.320,0.350
3,7:44,1,10,MIA 12,10,3,Teddy Bridgewater pass incomplete short right intended for Jaylen Waddle (defended by Patrick Peterson),-0.350,-0.780
3,7:41,2,10,MIA 12,10,3,Teddy Bridgewater pass incomplete deep left intended for Jaylen Waddle (defended by Patrick Peterson),-0.780,-1.420
3,7:37,3,10,MIA 12,10,3,Teddy Bridgewater pass incomplete short left intended for Jaylen Waddle (defended by Harrison Smith),-1.420,-2.490
3,7:29,4,10,MIA 12,10,3,"Thomas Morstead punts 62 yards, returned by Jalen Reagor for 25 yards (tackle by Thomas Morstead)",-2.490,-2.320
3,7:20,1,10,MIA 49,10,3,Kirk Cousins pass incomplete deep left intended for Adam Thielen (defended by Noah Igbinoghene),2.320,1.780
3,7:13,2,10,MIA 49,10,3,"Kirk Cousins pass complete to Irv Smith for no gain. Irv Smith fumbles (forced by Zach Sieler), recovered by Justin Jefferson at MIA-49 (tackle by Zach Sieler)",1.780,1.090
3,6:27,3,10,MIA 49,10,3,Kirk Cousins sacked by Raekwon Davis for -7 yards,1.090,-0.460
3,5:50,4,17,MIN 44,10,3,"Ryan Wright punts 42 yards, fair catch by Jevon Holland at MIA-14",-0.460,0.280
3,5:46,1,10,MIA 14,10,3,Teddy Bridgewater pass complete deep left to Tyreek Hill for 21 yards,-0.280,1.270
3,5:13,1,10,MIA 35,10,3,Teddy Bridgewater sacked by Za'Darius Smith for -7 yards,1.270,-0.220
3,4:28,2,17,MIA 28,10,3,Teddy Bridgewater pass complete short middle to Tyreek Hill for 13 yards (tackle by Camryn Bynum and Patrick Peterson),-0.220,0.830
3,3:46,3,4,MIA 41,10,3,"Teddy Bridgewater pass incomplete short middle. Penalty on Teddy Bridgewater: Intentional Grounding, 20 yards (accepted)",0.830,-1.960
3,3:30,4,24,MIA 21,10,3,"Thomas Morstead punts 63 yards, returned by Jalen Reagor for 11 yards (tackle by Hunter Long)",-1.960,-0.740
3,3:22,1,10,MIN 27,10,3,Kirk Cousins pass complete to Justin Jefferson for 8 yards (tackle by Xavien Howard),0.740,1.280
3,2:44,2,2,MIN 35,10,3,Dalvin Cook right guard for no gain (tackle by Christian Wilkins),1.280,0.560
3,2:04,3,2,MIN 35,10,3,C.J. Ham up the middle for 3 yards (tackle by Zach Sieler and Elandon Roberts),0.560,1.470
3,1:26,1,10,MIN 38,10,3,Kirk Cousins pass complete to K.J. Osborn for 7 yards (tackle by Jevon Holland and Brandon Jones),1.470,1.870
3,0:41,2,3,MIN 45,10,3,Kirk Cousins pass complete to Justin Jefferson for 47 yards (tackle by Xavien Howard and Brandon Jones),1.870,5.370
Quarter,Time,Down,ToGo,Location,MIN,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,8,MIA 8,10,3,Kirk Cousins pass complete to Dalvin Cook for 6 yards (tackle by Jevon Holland),5.370,5.720
4,14:21,2,2,MIA 2,16,3,"Kirk Cousins pass complete to Adam Thielen for 2 yards, touchdown",5.720,7.000
4,14:13,,,MIA 15,16,3,Greg Joseph kicks extra point no good,0.000,-1.000
4,14:13,,,MIN 35,16,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,14:13,1,10,MIA 25,16,3,Teddy Bridgewater pass complete short middle to Tyreek Hill for 13 yards (tackle by Patrick Peterson),0.610,1.470
4,13:40,1,10,MIA 38,16,3,Raheem Mostert right end for 3 yards (tackle by Danielle Hunter and Eric Kendricks),1.470,1.330
4,13:02,2,7,MIA 41,16,3,Teddy Bridgewater pass complete short middle to Tyreek Hill for 28 yards (tackle by Harrison Smith),1.330,3.510
4,12:16,1,10,MIN 31,16,3,Teddy Bridgewater pass complete short middle to Mike Gesicki for 13 yards (tackle by Harrison Smith),3.510,4.370
4,11:38,1,10,MIN 18,16,3,Raheem Mostert up the middle for 4 yards (tackle by Danielle Hunter),4.370,4.430
4,11:00,2,6,MIN 14,16,3,Teddy Bridgewater scrambles for 10 yards (tackle by Za'Darius Smith),4.430,6.280
4,10:08,1,4,MIN 4,16,9,"Teddy Bridgewater pass complete to Mike Gesicki for 4 yards, touchdown",6.280,7.000
4,10:04,,,MIN 15,16,10,Jason Sanders kicks extra point good,0.000,0.000
4,10:04,,,MIA 35,16,10,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,10:04,1,10,MIN 25,16,10,Kirk Cousins pass complete short right to Johnny Mundt for no gain (tackle by Brandon Jones),0.610,0.060
4,9:21,2,10,MIN 25,16,10,Kirk Cousins pass complete short middle to Adam Thielen for 9 yards (tackle by Andrew Van Ginkel),0.060,0.560
4,8:41,3,1,MIN 34,16,10,Kirk Cousins pass incomplete short left intended for Adam Thielen (defended by Justin Bethel),0.560,-1.110
4,8:34,4,1,MIN 34,16,10,"Ryan Wright punts 50 yards, returned by Jevon Holland for 4 yards (tackle by Kene Nwangwu)",-1.110,-0.280
4,8:25,1,10,MIA 20,16,10,Teddy Bridgewater pass complete deep middle to Tyreek Hill for 23 yards (tackle by Eric Kendricks),0.280,1.800
4,7:39,1,10,MIA 43,16,10,Teddy Bridgewater pass incomplete deep left intended for Mike Gesicki (defended by Camryn Bynum),1.800,1.250
4,7:31,2,10,MIA 43,16,10,Teddy Bridgewater sacked by Za'Darius Smith for -9 yards,1.250,-0.620
4,6:50,3,19,MIA 34,16,10,Teddy Bridgewater pass complete short left to Chase Edmonds for 14 yards (tackle by Jordan Hicks and Cameron Dantzler),-0.620,-0.190
4,6:08,,,,,,Timeout #1 by Minnesota Vikings,,
4,6:08,4,5,MIA 48,16,10,Teddy Bridgewater pass complete short right to Tyreek Hill for 14 yards (tackle by Brian Asamoah),-0.190,3.050
4,5:29,1,10,MIN 38,16,10,"Raheem Mostert for no gain (tackle by Eric Kendricks). Penalty on Robert Hunt: Offensive Holding, 10 yards (accepted) (no play)",3.050,2.390
4,5:00,1,20,MIN 48,16,10,Teddy Bridgewater pass complete to Trent Sherfield for 6 yards (tackle by Patrick Peterson),2.390,1.970
4,4:14,2,14,MIN 42,16,10,"Teddy Bridgewater pass complete to Jaylen Waddle for 14 yards. Jaylen Waddle fumbles (forced by Harrison Smith), recovered by Camryn Bynum at MIN-26 and returned for 15 yards (tackle by Brandon Shell)",1.970,-1.660
4,4:10,1,10,MIN 41,16,10,Dalvin Cook right tackle for 6 yards (tackle by Elandon Roberts),1.660,1.930
4,3:25,2,4,MIN 47,22,10,"Dalvin Cook left tackle for 53 yards, touchdown",1.930,7.000
4,3:15,,,MIA 2,24,10,Two Point Attempt: Kirk Cousins pass complete to to Adam Thielen for no gain,1.000,1.000
4,3:15,,,MIN 35,24,10,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,3:15,1,10,MIA 25,24,10,Teddy Bridgewater pass complete short left to Tyreek Hill for 14 yards,0.610,1.530
4,3:10,1,10,MIA 39,24,10,Teddy Bridgewater pass intended for Trent Sherfield is intercepted by Patrick Peterson at MIN-46 and returned for 6 yards (tackle by River Cracraft),1.530,-2.390
4,3:01,1,10,MIA 48,24,10,Dalvin Cook left tackle for 2 yards (tackle by Emmanuel Ogbah and Elandon Roberts),2.390,2.120
4,2:54,,,,,,Timeout #1 by Miami Dolphins,,
4,2:54,2,8,MIA 46,24,10,Dalvin Cook up the middle for 1 yard (tackle by Zach Sieler),2.120,1.550
4,2:49,,,,,,Timeout #2 by Miami Dolphins,,
4,2:49,3,7,MIA 45,24,10,Dalvin Cook left guard for 4 yards (tackle by Jaelan Phillips and Christian Wilkins),1.550,0.530
4,2:44,,,,,,Timeout #3 by Miami Dolphins,,
4,2:44,4,3,MIA 41,24,10,Ryan Wright punts 24 yards out of bounds,0.530,0.060
4,2:37,1,10,MIA 17,24,10,Teddy Bridgewater pass complete to Jaylen Waddle for 49 yards (tackle by Jordan Hicks),-0.060,3.310
4,2:20,1,10,MIN 34,24,10,Teddy Bridgewater pass complete short right to Tyreek Hill for 14 yards (tackle by Cameron Dantzler),3.310,4.240
4,2:10,1,10,MIN 20,24,10,Teddy Bridgewater pass complete short left to Mike Gesicki for 14 yards (tackle by Cameron Dantzler),4.240,5.830
4,2:05,1,6,MIN 6,24,10,"Teddy Bridgewater pass incomplete intended for Chase Edmonds. Penalty on Brandon Shell: Ineligible Downfield Pass, 5 yards (accepted) (no play)",5.830,4.770
4,2:01,1,11,MIN 11,24,10,Teddy Bridgewater sacked by Danielle Hunter for -6 yards,4.770,3.240
4,1:56,2,17,MIN 17,24,10,Teddy Bridgewater pass complete short left to Chase Edmonds for 14 yards (tackle by Eric Kendricks and Harrison Smith),3.240,4.720
4,1:31,3,3,MIN 3,24,16,"Teddy Bridgewater pass complete short left to Mike Gesicki for 3 yards, touchdown",4.720,7.000
4,1:24,,,MIN 2,24,16,Two Point Attempt: Teddy Bridgewater pass incomplete,1.000,-1.000
4,1:24,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:24,,,MIA 35,24,16,"Jason Sanders kicks onside 10 yards, returned by Camryn Bynum for no gain",0.000,2.590
4,1:23,1,10,MIA 45,24,16,Kirk Cousins kneels for -1 yards,2.590,1.910
4,0:43,2,11,MIA 46,24,16,Kirk Cousins kneels for -4 yards,1.910,0.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
