Quarter,Time,Tm,Detail,MIN,MIA
2.0,6:05,Dolphins,Jason Sanders 44 yard field goal,0,3
,2:32,Vikings,Irv Smith Jr. 1 yard pass from Kirk Cousins (Greg Joseph kick),7,3
,0:00,Vikings,Greg Joseph 34 yard field goal,10,3
4.0,14:13,Vikings,Adam Thielen 2 yard pass from Kirk Cousins (Greg Joseph kick failed),16,3
,10:04,Dolphins,Mike Gesicki 4 yard pass from Teddy Bridgewater (Jason Sanders kick),16,10
,3:15,Vikings,Dalvin Cook 53 yard rush (Adam Thielen pass from Kirk Cousins),24,10
,1:24,Dolphins,Mike Gesicki 3 yard pass from Teddy Bridgewater (pass failed),24,16
