Unnamed: 0,MIN,MIA
First Downs,11,23
Rush-Yds-TDs,17-78-1,20-73-0
Cmp-Att-Yd-TD-INT,20-30-175-2-0,30-47-418-2-2
Sacked-Yards,3-19,6-33
Net Pass Yards,156,385
Total Yards,234,458
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,2-20,10-97
Third Down Conv.,2-12,4-14
Fourth Down Conv.,0-0,1-2
Time of Possession,24:31,35:29
