Unnamed: 0,ARI,PHI
First Downs,16,19
Rush-Yds-TDs,14-31-0,33-122-0
Cmp-Att-Yd-TD-INT,28-44-291-1-0,21-30-304-4-1
Sacked-Yards,2-15,1-7
Net Pass Yards,276,297
Total Yards,307,419
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,7-61,5-60
Third Down Conv.,4-14,9-14
Fourth Down Conv.,2-3,0-0
Time of Possession,24:13,35:47
