Quarter,Time,Tm,Detail,ARI,PHI
1.0,8:19,Eagles,Trey Burton 15 yard pass from Carson Wentz (Jake Elliott kick),0,7
,3:52,Eagles,Zach Ertz 11 yard pass from Carson Wentz (Jake Elliott kick),0,14
,0:43,Eagles,Torrey Smith 59 yard pass from Carson Wentz (Jake Elliott kick),0,21
2.0,11:42,Cardinals,John Brown 13 yard pass from Carson Palmer (Phil Dawson kick),7,21
3.0,9:18,Eagles,Jake Elliott 36 yard field goal,7,24
,6:16,Eagles,Nelson Agholor 72 yard pass from Carson Wentz (Jake Elliott kick),7,31
4.0,2:00,Eagles,Jake Elliott 28 yard field goal,7,34
