Unnamed: 0,NYG,PHI
First Downs,16,15
Rush-Yds-TDs,31-88-0,19-48-0
Cmp-Att-Yd-TD-INT,25-39-246-0-0,23-35-188-0-2
Sacked-Yards,1-9,4-36
Net Pass Yards,237,152
Total Yards,325,200
Fumbles-Lost,1-1,5-1
Turnovers,1,3
Penalties-Yards,11-92,4-48
Third Down Conv.,8-19,3-12
Fourth Down Conv.,0-1,0-2
Time of Possession,38:05,21:55
