Quarter,Time,Down,ToGo,Location,LVR,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 64 yards,",0.000,0.610
1,15:00,1,10,IND 25,0,0,Jonathan Taylor right guard for 4 yards (tackle by Robert Spillane and Bilal Nichols),0.610,0.600
1,14:25,2,6,IND 29,0,0,Jonathan Taylor left tackle for 1 yard (tackle by John Jenkins and Nate Hobbs),0.600,0.040
1,14:02,3,5,IND 30,0,0,Gardner Minshew pass complete deep right to Josh Downs for 50 yards (tackle by Jack Jones),0.040,4.240
1,13:32,1,10,LVR 20,0,0,Jonathan Taylor up the middle for 5 yards (tackle by Divine Deablo and Jerry Tillery),4.240,4.450
1,12:55,2,5,LVR 15,0,0,Jonathan Taylor up the middle for 10 yards (tackle by Nate Hobbs and Marcus Epps),4.450,6.060
1,12:15,1,5,LVR 5,0,6,"Jonathan Taylor left end for 5 yards, touchdown",6.060,7.000
1,12:11,,,LVR 15,0,7,Matt Gay kicks extra point good,0.000,0.000
1,12:11,,,IND 35,0,7,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,12:11,1,10,LVR 25,0,7,Aidan O'Connell pass complete short left to Davante Adams for 1 yard (tackle by E.J. Speed),0.610,0.200
1,11:37,2,9,LVR 26,0,7,Aidan O'Connell pass complete short left to Zamir White for 14 yards (tackle by Ronnie Harrison),0.200,1.600
1,11:07,1,10,LVR 40,0,7,Zamir White left guard for 2 yards (tackle by Samson Ebukam),1.600,1.320
1,10:31,2,8,LVR 42,0,7,Aidan O'Connell pass incomplete short left intended for Zamir White,1.320,0.630
1,10:25,3,8,LVR 42,0,7,Aidan O'Connell pass complete deep right to Davante Adams for 24 yards (tackle by Nick Cross),0.630,3.310
1,9:55,1,10,IND 34,0,7,Aidan O'Connell sacked by Tyquan Lewis for -9 yards,3.310,1.550
1,9:13,2,19,IND 43,0,7,Aidan O'Connell pass complete short right to Zamir White for 3 yards (tackle by E.J. Speed),1.550,1.290
1,8:30,3,16,IND 40,0,7,Aidan O'Connell pass complete short right to Ameer Abdullah for 18 yards (tackle by Jaylon Jones),1.290,4.110
1,7:47,1,10,IND 22,0,7,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",4.110,3.780
1,7:22,1,15,IND 27,0,7,Aidan O'Connell pass complete short left to Zamir White for 4 yards (tackle by DeForest Buckner and Nick Cross),3.780,3.430
1,6:44,2,11,IND 23,0,7,Zamir White up the middle for 2 yards (tackle by DeForest Buckner),3.430,3.010
1,6:06,3,9,IND 21,0,7,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Julius Brents),3.010,2.060
1,6:01,4,9,IND 21,3,7,Daniel Carlson 40 yard field goal good,2.060,3.000
1,5:57,,,LVR 35,3,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,5:57,1,10,IND 25,3,7,Gardner Minshew pass incomplete short left,0.610,0.060
1,5:52,2,10,IND 25,3,7,Gardner Minshew pass incomplete short left intended for Michael Pittman,0.060,-0.620
1,5:48,3,10,IND 25,3,7,Gardner Minshew sacked by Adam Butler for -9 yards,-0.620,-2.390
1,5:04,4,19,IND 16,3,7,"Rigoberto Sanchez punts 51 yards, fair catch by DeAndre Carter at LV-33",-2.390,-1.140
1,4:57,1,10,LVR 33,3,7,"Penalty on Jakob Johnson: False Start, 5 yards (accepted) (no play)",1.140,0.810
1,4:57,1,15,LVR 28,3,7,Zamir White right tackle for 3 yards (tackle by Dayo Odeyingbo and Taven Bryan),0.810,0.320
1,4:21,2,12,LVR 31,3,7,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Julius Brents),0.320,0.560
1,3:57,3,5,LVR 38,3,7,Aidan O'Connell pass incomplete short middle intended for Davante Adams (defended by Chris Lammons),0.560,-0.850
1,3:51,4,5,LVR 38,3,7,"AJ Cole punts 56 yards, fair catch by Josh Downs at IND-6",-0.850,0.380
1,3:44,1,10,IND 6,3,7,Gardner Minshew pass incomplete short left intended for Kylen Granson,-0.380,-0.780
1,3:40,2,10,IND 6,3,7,Gardner Minshew pass complete short left to Michael Pittman for 5 yards (tackle by Brandon Facyson),-0.780,-0.840
1,3:00,3,5,IND 11,3,7,Gardner Minshew scrambles up the middle for 4 yards (tackle by Robert Spillane),-0.840,-2.440
1,2:15,4,1,IND 15,3,7,"Rigoberto Sanchez punts 48 yards, returned by DeAndre Carter for 3 yards (tackle by Trevor Denbow and Segun Olubi)",-2.440,-1.600
1,2:03,1,10,LVR 40,3,7,Aidan O'Connell pass incomplete deep left intended for Davante Adams,1.600,1.050
1,1:56,2,10,LVR 40,3,7,Aidan O'Connell pass complete short right to Jakobi Meyers for 13 yards (tackle by Julius Brents),1.050,2.460
1,1:26,1,10,IND 47,3,7,Aidan O'Connell pass complete short left to Austin Hooper for 7 yards (tackle by Chris Lammons),2.460,2.860
1,0:54,2,3,IND 40,3,7,Zamir White up the middle for 2 yards (tackle by E.J. Speed and Kwity Paye),2.860,2.410
1,0:15,3,1,IND 38,3,7,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Zaire Franklin),2.410,0.720
1,0:02,4,1,IND 38,3,7,"Penalty on Jermaine Eluemunor: False Start, 4 yards (accepted) (no play)",0.720,0.460
1,0:02,4,6,IND 42,3,7,AJ Cole punts 36 yards out of bounds,0.460,0.380
Quarter,Time,Down,ToGo,Location,LVR,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 6,3,7,Jonathan Taylor up the middle for 2 yards (tackle by John Jenkins and Tre'von Moehrig),-0.380,-0.630
2,14:26,2,8,IND 8,3,7,Jonathan Taylor up the middle for no gain (tackle by Adam Butler),-0.630,-1.190
2,13:45,3,8,IND 8,3,7,Gardner Minshew pass complete short left to Will Mallory for 19 yards (tackle by Robert Spillane),-1.190,0.740
2,13:18,1,10,IND 27,3,7,"Trey Sermon right tackle for no gain (tackle by Nate Hobbs). Penalty on Braden Smith: Offensive Holding, 10 yards (accepted) (no play)",0.740,-0.170
2,12:54,1,20,IND 17,3,7,Gardner Minshew pass complete short left to Michael Pittman for 6 yards (tackle by Amik Robertson),-0.170,-0.340
2,12:13,2,14,IND 23,3,7,Gardner Minshew pass complete short right to Josh Downs for 3 yards (tackle by Nate Hobbs),-0.340,-0.620
