Unnamed: 0,LVR,IND
First Downs,26,16
Rush-Yds-TDs,25-84-0,29-134-1
Cmp-Att-Yd-TD-INT,30-47-299-2-0,15-23-224-1-0
Sacked-Yards,2-13,1-9
Net Pass Yards,286,215
Total Yards,370,349
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,7-54,5-52
Third Down Conv.,5-15,6-13
Fourth Down Conv.,2-2,1-1
Time of Possession,33:44,26:16
