Quarter,Time,Down,ToGo,Location,MIN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,SDG 35,6,0,"Nate Kaeding kicks off 68 yards, returned by Percy Harvin for 103 yards, touchdown",0.000,7.000
1,,,,SDG 2,7,0,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 35,7,0,"Ryan Longwell kicks off 59 yards, returned by Jacob Hester for 24 yards (tackle by Chris Cook)",0.000,0.940
1,14:39,1,10,SDG 30,7,0,Ryan Mathews up the middle for 1 yard (tackle by Chad Greenway),0.940,0.530
1,14:02,2,9,SDG 31,7,0,Ryan Mathews left end for 2 yards (tackle by Husain Abdullah and Cedric Griffin),0.530,0.100
1,13:18,3,7,SDG 33,7,0,Philip Rivers pass incomplete short middle intended for Antonio Gates,0.100,-1.180
1,13:14,4,7,SDG 33,7,0,"Mike Scifres punts 47 yards, returned by Marcus Sherels for 2 yards (tackle by Darrell Stuckey). Penalty on Jamarca Sanford: Illegal Block Above the Waist, 10 yards",-1.180,0.350
1,13:08,1,10,MIN 12,7,0,Donovan McNabb pass incomplete is intercepted by Shaun Phillips at MIN-6,-0.350,-5.830
1,12:59,1,6,MIN 6,7,0,Mike Tolbert up the middle for 3 yards (tackle by Jared Allen),5.830,5.530
1,12:23,2,3,MIN 3,7,0,Mike Tolbert up the middle for 2 yards (tackle by Brian Robison),5.530,5.170
1,11:42,3,1,MIN 1,7,6,"Philip Rivers pass complete short right to Mike Tolbert for 1 yard, touchdown",5.170,7.000
1,,,,MIN 2,7,7,Mike Scifres kicks extra point good,0.000,0.000
1,,,,SDG 35,7,7,"Mike Scifres kicks off 65 yards, touchback",0.000,0.280
1,11:38,1,10,MIN 20,7,7,Adrian Peterson left end for 14 yards (tackle by Takeo Spikes and Antonio Garay),0.280,1.200
1,11:03,1,10,MIN 34,7,7,Adrian Peterson right end for 3 yards (tackle by Quentin Jammer and Takeo Spikes),1.200,1.060
1,10:30,2,7,MIN 37,7,7,Adrian Peterson up the middle for -2 yards (tackle by Corey Liuget and Bob Sanders),1.060,0.100
1,9:51,3,9,MIN 35,7,7,Donovan McNabb pass complete short middle to Adrian Peterson for 4 yards (tackle by Antwan Barnes),0.100,-0.780
1,9:08,4,5,MIN 39,7,7,"Chris Kluwe punts 49 yards, returned by Bryan Walters for 6 yards (tackle by Everson Griffen)",-0.780,-0.040
1,8:57,1,10,SDG 18,7,7,Philip Rivers pass complete short right to Antonio Gates for 11 yards (tackle by Jamarca Sanford),0.040,0.870
1,8:14,1,10,SDG 29,7,7,Ryan Mathews up the middle for 21 yards (tackle by Jamarca Sanford),0.870,2.260
1,7:33,1,10,,7,7,Ryan Mathews up the middle for 2 yards (tackle by Chad Greenway and Letroy Guion),2.260,1.980
1,6:50,2,8,MIN 48,7,7,Philip Rivers pass complete short left to Antonio Gates for 3 yards (tackle by Jared Allen),1.980,1.690
1,6:06,3,5,MIN 45,7,7,Philip Rivers sacked by Brian Robison and Jared Allen for -4 yards,1.690,0.000
1,5:38,4,9,MIN 49,7,7,"Mike Scifres punts 41 yards, fair catch by Marcus Sherels",0.000,0.380
1,5:30,1,10,MIN 8,7,7,Adrian Peterson left end for 2 yards (tackle by Donald Butler and Shaun Phillips),-0.380,-0.630
1,4:51,2,8,MIN 10,7,7,Donovan McNabb pass complete short right to Percy Harvin for 5 yards (tackle by Donald Butler),-0.630,-0.600
1,4:15,3,3,MIN 15,7,7,Donovan McNabb pass complete short left to Michael Jenkins for 12 yards (tackle by Antoine Cason). Penalty on Antoine Cason: Defensive Pass Interference (Declined),-0.600,0.740
1,3:53,1,10,MIN 27,7,7,"Penalty on Antonio Garay: Encroachment, 5 yards (no play)",0.740,1.470
1,3:39,1,5,MIN 32,7,7,Adrian Peterson right end for 1 yard (tackle by Takeo Spikes and Bob Sanders),1.470,1.010
1,3:02,2,4,MIN 33,7,7,Donovan McNabb sacked by Antonio Garay for -1 yards,1.010,0.170
1,2:28,3,5,MIN 32,7,7,Percy Harvin left end for 8 yards (tackle by Donald Butler),0.170,1.600
1,1:49,,,,7,7,Timeout #1 by San Diego Chargers,0.000,1.600
1,1:49,1,10,MIN 40,7,7,Donovan McNabb for 23 yards (tackle by Eric Weddle),1.600,3.120
1,1:19,1,10,SDG 37,7,7,Adrian Peterson right end for 2 yards (tackle by Quentin Jammer and Takeo Spikes),3.120,2.840
1,0:43,2,8,SDG 35,7,7,Adrian Peterson up the middle for 5 yards (tackle by Antonio Garay and Takeo Spikes),2.840,2.810
Quarter,Time,Down,ToGo,Location,MIN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,SDG 30,7,7,Donovan McNabb pass complete short middle to Michael Jenkins for 11 yards (tackle by Marcus Gilchrist),2.810,4.310
2,14:18,1,10,SDG 19,7,7,Percy Harvin right end for 1 yard (tackle by Bob Sanders),4.310,3.880
2,13:41,2,9,SDG 18,7,7,Adrian Peterson up the middle for 3 yards (tackle by Takeo Spikes and Antonio Garay),3.880,3.580
2,13:04,3,6,SDG 15,7,7,Donovan McNabb pass incomplete short left intended for Percy Harvin (defended by Antoine Cason),3.580,2.470
2,12:59,4,6,SDG 15,10,7,Ryan Longwell 33 yard field goal good,2.470,3.000
2,,,,MIN 35,10,7,"Ryan Longwell kicks off 70 yards, returned by Richard Goodman for 26 yards (tackle by Chris Cook)",0.000,0.340
2,12:51,1,10,SDG 21,10,7,Ryan Mathews right end for -1 yards (tackle by E.J. Henderson and E.J. Henderson),0.340,-0.340
