Unnamed: 0,MIN,SDG
First Downs,10,31
Rush-Yds-TDs,26-159-0,27-77-1
Cmp-Att-Yd-TD-INT,7-15-39-1-1,33-48-335-2-2
Sacked-Yards,2-11,2-5
Net Pass Yards,28,330
Total Yards,187,407
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,9-78,4-26
Third Down Conv.,4-11,6-13
Fourth Down Conv.,0-0,0-1
Time of Possession,22:43,37:17
