Quarter,Time,Tm,Detail,NYJ,SEA
1.0,8:01,Seahawks,Golden Tate 38 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
,2:50,Jets,Muhammad Wilkerson 21 yard defensive fumble return (Nick Folk kick),7,7
2.0,2:04,Seahawks,Marshawn Lynch 1 yard rush (Stephen Hauschka kick),7,14
4.0,13:33,Seahawks,Sidney Rice 31 yard pass from Russell Wilson (Stephen Hauschka kick),7,21
,7:59,Seahawks,Sidney Rice 23 yard pass from Golden Tate (Stephen Hauschka kick),7,28
