Unnamed: 0,SEA,TEN
First Downs,24,21
Rush-Yds-TDs,22-69-0,35-195-1
Cmp-Att-Yd-TD-INT,29-49-373-4-0,20-32-225-2-0
Sacked-Yards,1-9,0-0
Net Pass Yards,364,225
Total Yards,433,420
Fumbles-Lost,3-0,0-0
Turnovers,0,0
Penalties-Yards,11-98,5-45
Third Down Conv.,4-14,4-14
Fourth Down Conv.,1-2,0-0
Time of Possession,27:19,32:41
