Unnamed: 0,PIT,ATL
First Downs,27,24
Rush-Yds-TDs,26-55-0,39-173-1
Cmp-Att-Yd-TD-INT,24-35-433-5-0,18-30-232-4-2
Sacked-Yards,3-15,1-6
Net Pass Yards,418,226
Total Yards,473,399
Fumbles-Lost,4-3,0-0
Turnovers,3,2
Penalties-Yards,9-65,6-40
Third Down Conv.,7-11,8-16
Fourth Down Conv.,0-0,0-0
Time of Possession,30:53,36:03
