Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 68 yards, returned by Allen Rossum for 25 yards (tackle by Ike Taylor)",0.000,0.740
1,14:53,1,10,ATL 27,0,0,"Warrick Dunn left tackle for 2 yards (tackle by Casey Hampton). Penalty on Wayne Gandy: Illegal Formation, 5 yards (no play)",0.740,0.410
1,14:25,1,15,ATL 22,0,0,Warrick Dunn left tackle for 1 yard (tackle by Casey Hampton),0.410,-0.340
1,13:44,2,14,ATL 23,0,0,Michael Vick pass incomplete short right intended for Roddy White,-0.340,-1.020
1,13:40,3,14,ATL 23,0,0,Michael Vick pass incomplete deep left intended for Roddy White (defended by Bryant McFadden),-1.020,-1.830
1,13:31,4,14,ATL 23,0,0,"Michael Koenen punts 56 yards, returned by Santonio Holmes for no gain. Santonio Holmes fumbles, recovered by Adam Jennings at PIT-22",-1.830,4.110
1,13:19,1,10,PIT 22,0,6,"Michael Vick pass complete deep left to Alge Crumpler for 22 yards, touchdown",4.110,7.000
1,,,,PIT 2,0,7,Morten Andersen kicks extra point good,0.000,0.000
1,,,,ATL 30,0,7,"Michael Koenen kicks off 70 yards, returned by Santonio Holmes for 42 yards (tackle by Michael Koenen)",0.000,1.730
1,13:05,1,10,PIT 42,0,7,Willie Parker middle for 5 yards (tackle by DeAngelo Hall),1.730,1.860
1,12:40,2,5,PIT 47,0,7,Ben Roethlisberger pass incomplete short left intended for Willie Parker (defended by Michael Boley),1.860,1.160
1,12:33,3,5,PIT 47,0,7,Ben Roethlisberger pass complete short right to Santonio Holmes for 13 yards,1.160,2.920
1,12:07,1,10,ATL 40,0,7,Ben Roethlisberger pass complete deep right to Cedrick Wilson for 20 yards (tackle by Chris Crocker),2.920,4.240
1,11:28,1,10,ATL 20,0,7,Willie Parker left end for -5 yards (tackle by Grady Jackson),4.240,3.020
1,10:48,2,15,ATL 25,0,7,Ben Roethlisberger pass incomplete short right intended for Heath Miller,3.020,2.340
1,10:43,3,15,ATL 25,0,7,Ben Roethlisberger pass complete deep right to Nate Washington for 17 yards (tackle by Keith Brooking),2.340,5.370
1,9:59,1,8,ATL 8,0,7,Ben Roethlisberger pass incomplete short middle intended for Hines Ward (defended by Chris Crocker),5.370,4.570
1,9:54,2,8,ATL 8,0,7,Willie Parker right tackle for 3 yards (tackle by Michael Boley and Lawyer Milloy),4.570,4.260
1,9:13,3,5,ATL 5,0,7,Ben Roethlisberger sacked by Josh Mallard for -5 yards,4.260,2.760
1,8:51,4,10,ATL 10,3,7,Jeff Reed 28 yard field goal good,2.760,3.000
1,,,,PIT 30,3,7,"Jeff Reed kicks off 69 yards, returned by Allen Rossum for 45 yards (tackle by Bryant McFadden)",0.000,1.990
1,8:37,1,10,ATL 46,3,7,Warrick Dunn middle for 4 yards (tackle by Aaron Smith),1.990,1.990
1,7:59,2,6,ATL 50,3,7,Michael Vick pass incomplete short middle intended for Roddy White,1.990,1.290
1,7:53,3,6,ATL 50,3,7,Michael Vick pass incomplete deep left intended for Roddy White is intercepted by Troy Polamalu at PIT-32 and returned for 2 yards,1.290,-1.200
1,7:45,1,10,PIT 34,3,7,Willie Parker right end for 4 yards (tackle by Ed Hartwell),1.200,1.200
1,7:04,2,6,PIT 38,3,7,"Penalty on Patrick Kerney: Neutral Zone Infraction, 5 yards (no play)",1.200,1.870
1,7:03,2,1,PIT 43,3,7,"Willie Parker middle for 1 yard (tackle by Jason Webster). Penalty on Jonathan Babineaux: Defensive Holding, 5 yards",1.870,2.190
1,6:58,1,10,PIT 49,3,7,Ben Roethlisberger pass complete short left to Cedrick Wilson for 16 yards (tackle by Ed Hartwell),2.190,3.250
1,5:33,1,10,ATL 35,3,7,"Penalty on Ben Roethlisberger: False Start, 5 yards (no play)",3.250,2.920
1,5:17,1,15,ATL 40,3,7,Willie Parker right tackle for 16 yards (tackle by Chris Crocker),2.920,3.970
1,4:38,1,10,ATL 24,3,7,Willie Parker right tackle for 2 yards (tackle by Lawyer Milloy),3.970,3.700
1,3:51,2,8,ATL 22,3,7,Ben Roethlisberger pass complete short middle to Hines Ward for 12 yards (tackle by Lawyer Milloy and Keith Brooking),3.700,4.910
1,3:10,1,10,ATL 10,3,7,Najeh Davenport left tackle for -1 yards (tackle by Keith Brooking),4.910,4.020
1,2:30,2,11,ATL 11,3,7,Ben Roethlisberger pass incomplete short middle intended for Cedrick Wilson (defended by Grady Jackson),4.020,3.120
1,2:25,3,11,ATL 11,9,7,"Ben Roethlisberger pass complete short right to Hines Ward for 11 yards, touchdown",3.120,7.000
1,,,,ATL 2,10,7,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,10,7,"Jeff Reed kicks off 72 yards, returned by Allen Rossum for 5 yards, lateral to Jerious Norwood for 27 yards (tackle by Sean Morey)",0.000,0.940
1,2:14,1,10,ATL 30,10,7,Michael Vick pass incomplete deep left intended for Michael Jenkins,0.940,0.390
1,2:06,2,10,ATL 30,10,7,Warrick Dunn left tackle for 4 yards (tackle by Troy Polamalu),0.390,0.230
1,1:25,3,6,ATL 34,10,7,Warrick Dunn right tackle for 3 yards (tackle by Aaron Smith and Clark Haggans),0.230,-0.910
1,0:46,4,3,ATL 37,10,7,"Michael Koenen punts 51 yards, fair catch by Santonio Holmes",-0.910,0.350
1,0:38,1,10,PIT 12,10,7,Ben Roethlisberger pass complete short right to Jerame Tuman for 21 yards (tackle by DeAngelo Hall),-0.350,1.140
Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 33,10,7,"Ben Roethlisberger pass complete deep middle to Hines Ward for 19 yards (tackle by Jason Webster). Hines Ward fumbles (forced by Jason Webster), recovered by Heath Miller at ATL-46",1.140,2.520
,,,,,,,"ATL challenged the ruling, and the play was upheld.",,
2,14:19,1,10,ATL 46,10,7,Willie Parker right tackle for 6 yards (tackle by Michael Boley),2.520,2.790
2,13:39,2,4,ATL 40,10,7,"Penalty on Hines Ward: False Start, 5 yards (no play)",2.790,2.110
