Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ATL 20,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 4 yards (tackle by Dont'a Hightower),0.280,0.270
1,14:41,2,6,ATL 24,0,0,Jacquizz Rodgers right tackle for 4 yards (tackle by Chandler Jones),0.270,0.100
1,14:05,3,2,ATL 28,0,0,Matt Ryan pass complete deep middle to Tony Gonzalez for 25 yards (tackle by Jerod Mayo),0.100,2.460
1,13:32,1,10,NWE 47,0,0,Matt Ryan pass complete short right to Jacquizz Rodgers for 8 yards (tackle by Steve Gregory),2.460,2.990
1,13:03,2,2,NWE 39,0,0,Jacquizz Rodgers right guard for 5 yards (tackle by Jerod Mayo and Alfonzo Dennard),2.990,3.310
1,12:22,1,10,NWE 34,0,0,Matt Ryan pass complete short left to Harry Douglas for 5 yards (tackle by Kyle Arrington),3.310,3.450
1,11:53,2,5,NWE 29,0,0,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Kyle Arrington),3.450,4.040
1,11:28,1,10,NWE 23,0,0,Jason Snelling right tackle for 3 yards (tackle by Steve Gregory),4.040,3.900
1,10:51,2,7,NWE 20,0,0,Matt Ryan pass complete short right to Roddy White for 14 yards (tackle by Alfonzo Dennard),3.900,5.830
1,10:20,1,6,NWE 6,0,0,Matt Ryan pass complete short left to Julio Jones for 1 yard (tackle by Aqib Talib and Devin McCourty),5.830,5.150
1,9:38,2,5,NWE 5,0,0,Matt Ryan pass incomplete short left intended for Tony Gonzalez,5.150,4.260
1,9:33,3,5,NWE 5,0,0,Matt Ryan pass incomplete short middle intended for Julio Jones,4.260,3.010
1,9:27,4,5,NWE 5,0,3,Matt Bryant 23 yard field goal good,3.010,3.000
1,9:27,,,ATL 35,0,3,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
1,9:23,1,10,NWE 20,0,3,Stevan Ridley left guard for 5 yards (tackle by Joplo Bartu and Akeem Dent),0.280,0.410
1,8:45,2,5,NWE 25,0,3,Tom Brady pass complete short left to James Develin for 15 yards (tackle by Akeem Dent and Joplo Bartu),0.410,1.600
1,8:11,1,10,NWE 40,0,3,"Penalty on Jonathan Babineaux: Neutral Zone Infraction, 5 yards (no play)",1.600,2.330
1,7:49,1,5,NWE 45,0,3,Tom Brady pass incomplete short left intended for Aaron Dobson (defended by Dominique Franks),2.330,1.730
1,7:36,2,5,NWE 45,0,3,Stevan Ridley left end for 4 yards (tackle by Corey Peters),1.730,1.550
1,6:55,3,1,NWE 49,0,3,"Tom Brady left tackle for 2 yards (tackle by Thomas DeCoud). Penalty on NWE: Illegal Shift, 5 yards (no play)",1.550,0.890
1,6:28,3,6,NWE 44,0,3,Tom Brady pass incomplete short left intended for Kenbrell Thompkins,0.890,-0.460
1,6:23,4,6,NWE 44,0,3,"Ryan Allen punts 56 yards, touchback. Penalty on Kanorris Davis: Illegal Formation, 5 yards",-0.460,-0.610
1,6:15,1,10,ATL 25,0,3,"Jacquizz Rodgers right guard for 18 yards (tackle by Alfonzo Dennard). Penalty on Sam Baker: Offensive Holding, 10 yards (no play)",0.610,-0.410
1,5:45,1,20,ATL 15,0,3,Matt Ryan pass complete short left to Jacquizz Rodgers for 6 yards (tackle by Alfonzo Dennard),-0.410,-0.480
1,5:06,2,14,ATL 21,0,3,"Matt Ryan pass complete short right to Tony Gonzalez for 5 yards (tackle by Steve Gregory). Penalty on Sam Baker: Face Mask (15 Yards), 10 yards (no play)",-0.480,-1.800
1,4:46,2,24,ATL 11,0,3,Jacquizz Rodgers right end for 4 yards (tackle by Tommy Kelly),-1.800,-1.800
1,4:07,2,24,ATL 11,0,3,Timeout #1 by New England Patriots,-1.800,-2.350
1,4:04,3,20,ATL 15,0,3,Matt Ryan pass incomplete deep right intended for Julio Jones (defended by Aqib Talib),-2.350,-2.440
1,4:01,4,20,ATL 15,0,3,Matthew Bosher punts 60 yards,-2.440,-0.610
1,3:48,1,10,NWE 25,0,3,Tom Brady pass complete short left to Stevan Ridley for 24 yards (tackle by Desmond Trufant and Robert Alford),0.610,2.190
1,3:05,1,10,NWE 49,0,3,Stevan Ridley left tackle for 5 yards (tackle by Osi Umenyiora),2.190,2.320
1,2:38,2,5,ATL 46,0,3,LeGarrette Blount left tackle for 3 yards (tackle by Osi Umenyiora and Desmond Trufant),2.320,2.010
1,1:58,3,2,ATL 43,0,3,Brandon Bolden right end for 8 yards (tackle by Osi Umenyiora and Thomas DeCoud),2.010,3.250
1,1:21,1,10,ATL 35,0,3,Stevan Ridley left tackle for 7 yards (tackle by Akeem Dent),3.250,3.650
1,0:50,2,3,ATL 28,0,3,Stevan Ridley right guard for 14 yards (tackle by Thomas DeCoud),3.650,4.650
1,0:16,1,10,ATL 14,0,3,LeGarrette Blount right guard for 4 yards (tackle by Thomas DeCoud),4.650,4.710
Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,ATL 10,0,3,Brandon Bolden left guard for 3 yards (tackle by Jonathan Babineaux and Corey Peters),4.710,4.500
2,14:17,3,3,ATL 7,0,3,Brandon Bolden left guard for 4 yards (tackle by Corey Peters and Akeem Dent),4.500,6.510
2,13:35,1,3,ATL 3,0,3,Brandon Bolden left end for 2 yards (tackle by Desmond Trufant),6.510,5.910
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
2,13:18,2,1,ATL 1,0,3,Stevan Ridley left tackle for no gain (tackle by Stephen Nicholas),5.910,5.170
2,12:49,3,1,ATL 1,6,3,"Tom Brady pass complete short right to Matthew Mulligan for 1 yard, touchdown",5.170,7.000
2,12:49,,,ATL 2,7,3,Stephen Gostkowski kicks extra point good,0.000,0.000
2,12:49,,,NWE 35,7,3,"Stephen Gostkowski kicks off 68 yards, returned by Jacquizz Rodgers for 29 yards (tackle by Michael Buchanan)",0.000,-0.670
2,12:36,1,10,ATL 26,7,3,Matt Ryan pass incomplete short right intended for Jason Snelling,0.670,0.130
