Unnamed: 0,NWE,ATL
First Downs,21,26
Rush-Yds-TDs,31-132-1,15-58-0
Cmp-Att-Yd-TD-INT,20-31-316-2-0,34-54-421-2-1
Sacked-Yards,0-0,2-22
Net Pass Yards,316,399
Total Yards,448,457
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,9-93,6-55
Third Down Conv.,7-13,6-14
Fourth Down Conv.,0-1,0-2
Time of Possession,30:39,29:21
