Quarter,Time,Down,ToGo,Location,LVR,ATL,Detail,EPB,EPA
2,13:44,3,22,ATL 22,0,6,Derek Carr pass complete short left to Hunter Renfrow for 11 yards (tackle by Jacob Tuioti-Mariner),2.080,2.700
2,13:04,4,11,ATL 11,3,6,Daniel Carlson 29 yard field goal good,2.700,3.000
2,12:59,,,LVR 35,3,6,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,12:59,1,10,ATL 25,3,6,Brian Hill right tackle for 3 yards (tackle by Nick Kwiatkoski),0.610,0.470
2,12:23,2,7,ATL 28,3,6,Brian Hill right tackle for 4 yards (tackle by Nicholas Morrow),0.470,0.300
2,11:41,3,3,ATL 32,3,6,Matt Ryan pass incomplete short left,0.300,-1.240
2,11:33,4,3,ATL 32,3,6,"Sterling Hofrichter punts 35 yards, fair catch by Hunter Renfrow at LV-33. Penalty on Nevin Lawson: Offensive Holding, 10 yards",-1.240,-0.480
2,11:25,1,10,LVR 23,3,6,"Derek Carr pass incomplete short right intended for Darren Waller. Penalty on AJ Terrell: Defensive Pass Interference, 7 yards (no play)",0.480,0.940
2,11:21,1,10,LVR 30,3,6,Derek Carr pass complete short left to Hunter Renfrow for 2 yards (tackle by Deion Jones),0.940,0.660
2,10:39,2,8,LVR 32,3,6,Derek Carr pass complete short left to Zay Jones for 3 yards (tackle by Kendall Sheffield and Steven Means),0.660,0.370
2,9:54,3,5,LVR 35,3,6,Derek Carr pass incomplete deep middle intended for Henry Ruggs (defended by AJ Terrell),0.370,-1.040
2,9:47,4,5,LVR 35,3,6,"AJ Cole punts 47 yards, fair catch by Brandon Powell at ATL-18",-1.040,-0.040
2,9:38,1,10,ATL 18,3,6,Matt Ryan pass complete short right to Calvin Ridley for 6 yards (tackle by Nicholas Morrow),0.040,0.410
2,8:56,2,4,ATL 24,3,6,Ito Smith right tackle for -1 yards (tackle by Nick Kwiatkoski and Maurice Hurst),0.410,-0.530
2,8:17,3,5,ATL 23,3,6,Matt Ryan pass complete short middle to Christian Blake for 17 yards (tackle by Nevin Lawson),-0.530,1.600
2,7:28,1,10,ATL 40,3,6,Ito Smith left tackle for 3 yards (tackle by Nevin Lawson),1.600,1.460
2,6:51,2,7,ATL 43,3,6,Matt Ryan pass complete short left to Hayden Hurst for 12 yards (tackle by Cory Littleton),1.460,2.590
2,6:02,1,10,LVR 45,3,6,"Matt Ryan pass short left is intercepted by Nick Kwiatkoski at LV-42 and returned for 3 yards. Penalty on Nevin Lawson: Face Mask (15 Yards), 15 yards (no play)",2.590,3.580
2,5:58,1,10,LVR 30,3,6,Matt Ryan pass complete short left to Russell Gage for 14 yards (tackle by Jeff Heath),3.580,4.510
2,5:26,1,10,LVR 16,3,6,Matt Ryan pass incomplete short left intended for Hayden Hurst (defended by Nicholas Morrow),4.510,3.900
2,5:23,2,10,LVR 16,3,6,Matt Ryan sacked by Nick Kwiatkoski for -6 yards,3.900,2.480
2,4:35,,,,,,Timeout #1 by Atlanta Falcons,,
2,4:35,3,16,LVR 22,3,6,Matt Ryan pass incomplete deep right intended for Russell Gage (defended by Trayvon Mullen),2.480,1.990
2,4:29,4,16,LVR 22,3,6,"Younghoe Koo yard field goal no good. Penalty on Dallin Leavitt: Roughing the Kicker, 11 yards (no play)",1.990,4.840
2,4:25,1,10,LVR 11,3,6,"Brian Hill right end for 2 yards. Penalty on Alex Mack: Offensive Holding, 10 yards (no play)",4.840,4.170
2,4:00,1,20,LVR 21,3,6,Brian Hill right tackle for 7 yards (tackle by Jeff Heath),4.170,3.690
2,3:17,2,13,LVR 14,3,6,Matt Ryan pass complete short right to Ito Smith for 2 yards (tackle by Nicholas Morrow),3.690,3.110
2,2:32,3,11,LVR 12,3,6,Matt Ryan pass complete short left to Russell Gage for 8 yards (tackle by Nevin Lawson),3.110,3.030
2,2:24,,,,,,Timeout #1 by Las Vegas Raiders,,
2,2:23,4,3,LVR 4,3,12,"Matt Ryan pass complete short left to Calvin Ridley for 4 yards, touchdown, touchdown",3.030,7.000
2,2:17,,,LVR 15,3,13,Younghoe Koo kicks extra point good,0.000,0.000
2,2:17,,,ATL 35,3,13,"Sterling Hofrichter kicks off 65 yards, touchback.",0.000,0.610
2,2:17,1,10,LVR 25,3,13,Derek Carr pass complete short right to Henry Ruggs for 1 yard (tackle by AJ Terrell),0.610,0.200
2,2:00,2,9,LVR 26,3,13,Derek Carr pass complete short left to Nelson Agholor for 13 yards (tackle by Kendall Sheffield). Penalty on Kendall Sheffield: Defensive Pass Interference (Declined),0.200,1.530
2,1:54,1,10,LVR 39,3,13,Derek Carr pass complete short right to Darren Waller for 11 yards (tackle by Ricardo Allen),1.530,2.260
2,1:47,1,10,LVR 50,3,13,"Derek Carr pass incomplete deep left intended for Nelson Agholor (defended by Ricardo Allen). Penalty on Steven Means: Defensive Offside, 5 yards (no play)",2.260,2.990
2,1:42,1,5,ATL 45,3,13,Derek Carr pass incomplete short right intended for Bryan Edwards,2.990,2.390
2,1:37,2,5,ATL 45,3,13,Derek Carr pass incomplete short right intended for Hunter Renfrow,2.390,1.690
2,1:32,3,5,ATL 45,3,13,Derek Carr pass complete short middle to Bryan Edwards for 15 yards (tackle by Keanu Neal),1.690,3.580
2,1:08,1,10,ATL 30,3,13,"Derek Carr sacked by Jacob Tuioti-Mariner for -8 yards. Derek Carr fumbles (forced by Jacob Tuioti-Mariner), recovered by Jacob Tuioti-Mariner at ATL-38 and returned for 1 yard (tackle by Denzelle Good)",3.580,-1.530
2,1:01,1,10,ATL 39,3,13,Matt Ryan pass incomplete short right intended for Hayden Hurst,1.530,0.990
2,0:58,2,10,ATL 39,3,13,Matt Ryan pass complete short right to Ito Smith for 8 yards (tackle by Cory Littleton),0.990,1.360
2,0:36,3,2,ATL 47,3,13,Ito Smith right guard for 2 yards (tackle by Jeff Heath),1.360,2.190
2,0:32,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:32,1,10,ATL 49,3,13,Matt Ryan pass complete short right to Hayden Hurst for 10 yards (tackle by Jeff Heath),2.190,2.850
2,0:26,,,,,,Timeout #3 by Atlanta Falcons,,
2,0:26,1,10,LVR 41,3,13,"Matt Ryan pass incomplete short left intended for Christian Blake (defended by Isaiah Johnson). Penalty on Maliek Collins: Roughing the Passer, 15 yards (no play)",2.850,3.840
2,0:22,1,10,LVR 26,3,13,Matt Ryan pass incomplete short right intended for Brian Hill,3.840,3.300
2,0:18,2,10,LVR 26,3,13,Matt Ryan pass incomplete deep right intended for Calvin Ridley,3.300,2.610
2,0:13,3,10,LVR 26,3,13,Matt Ryan pass complete short right to Hayden Hurst for 14 yards (tackle by Cory Littleton),2.610,4.780
2,0:06,1,10,LVR 12,3,16,Younghoe Koo 30 yard field goal good,4.780,3.000
2,0:02,,,ATL 35,3,16,"Sterling Hofrichter kicks off 57 yards, muffed catch by Keisean Nixon, recovered by Keisean Nixon at LV-8",0.000,1.270
Quarter,Time,Down,ToGo,Location,LVR,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,3,16,"Sterling Hofrichter kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,3,16,Josh Jacobs right tackle for 1 yard (tackle by Deion Jones),0.610,0.200
3,14:23,2,9,LVR 26,3,16,Derek Carr pass incomplete short left intended for Nelson Agholor,0.200,-0.490
3,14:17,3,9,LVR 26,3,16,Derek Carr pass incomplete short right. Penalty on Denzelle Good: Offensive Holding (Declined),-0.490,-1.630
3,14:10,4,9,LVR 26,3,16,AJ Cole punts 63 yards downed by Keisean Nixon,-1.630,0.370
3,13:58,1,10,ATL 11,3,16,Brian Hill left tackle for 3 yards (tackle by Johnathan Hankins and Carl Nassib),-0.370,-0.530
3,13:15,2,7,ATL 14,3,16,Matt Ryan pass complete short right to Calvin Ridley for 6 yards (tackle by Jeff Heath),-0.530,-0.370
3,12:43,3,1,ATL 20,3,16,Brian Hill left guard for -4 yards (tackle by Nicholas Morrow and Maxx Crosby),-0.370,-2.390
3,12:04,4,5,ATL 16,3,16,Sterling Hofrichter punts 20 yards out of bounds,-2.390,-3.180
3,11:53,1,10,ATL 36,3,16,Derek Carr pass incomplete short right intended for Devontae Booker,3.180,2.640
3,11:48,2,10,ATL 36,3,22,"Derek Carr pass short middle intended for Devontae Booker is intercepted by Deion Jones at ATL-33 and returned for 67 yards, touchdown. Penalty on Kolton Miller: Illegal Formation (Declined)",2.640,-7.000
3,11:36,,,LVR 15,3,23,Younghoe Koo kicks extra point good,0.000,0.000
3,11:36,,,ATL 35,3,23,"Sterling Hofrichter kicks off 65 yards, touchback.",0.000,0.610
3,11:36,1,10,LVR 25,3,23,Josh Jacobs right tackle for 4 yards (tackle by Foyesade Oluokun),0.610,0.600
3,11:10,2,6,LVR 29,3,23,Derek Carr pass complete deep middle to Henry Ruggs for 19 yards (tackle by Sharrod Neasman),0.600,2.130
3,10:36,1,10,LVR 48,3,23,Henry Ruggs left end for -2 yards (tackle by Deion Jones and Isaiah Oliver),2.130,1.310
3,10:07,2,12,LVR 46,3,23,Derek Carr pass complete short right to Hunter Renfrow for 11 yards (tackle by Isaiah Oliver and AJ Terrell),1.310,2.080
3,9:25,3,1,ATL 43,3,23,Derek Carr pass complete short middle to Nelson Agholor for 12 yards (tackle by Darqueze Dennard),2.080,3.510
3,8:49,1,10,ATL 31,3,23,Derek Carr pass complete short right to Josh Jacobs for 11 yards (tackle by Steven Means),3.510,4.240
3,8:21,,,,,,Timeout #1 by Atlanta Falcons,,
3,8:21,1,10,ATL 20,3,23,Derek Carr pass incomplete deep middle intended for Hunter Renfrow (defended by Ricardo Allen),4.240,3.690
3,8:12,2,10,ATL 20,3,23,Derek Carr pass complete short right to Nelson Agholor for 15 yards,3.690,6.060
3,7:36,1,5,ATL 5,3,23,Derek Carr pass incomplete short right intended for Henry Ruggs,6.060,5.150
3,7:30,2,5,ATL 5,3,23,Derek Carr pass incomplete short right,5.150,4.260
3,7:26,3,5,ATL 5,3,23,Derek Carr pass complete short right to Devontae Booker for -1 yards (tackle by AJ Terrell),4.260,2.990
3,6:43,4,6,ATL 6,6,23,Daniel Carlson 24 yard field goal good,2.990,3.000
3,6:39,,,LVR 35,6,23,"Daniel Carlson kicks off 57 yards, returned by Brandon Powell for 16 yards (tackle by Kyle Wilber). Penalty on Keith Smith: Illegal Double-Team Block, 12 yards",0.000,-0.350
3,6:34,1,10,ATL 12,6,23,Brian Hill right guard for 4 yards (tackle by Johnathan Hankins and Trayvon Mullen),-0.350,-0.370
3,5:51,2,6,ATL 16,6,23,Matt Ryan pass incomplete short right intended for Keith Smith,-0.370,-0.950
3,5:47,,,,,,Timeout #2 by Atlanta Falcons,,
3,5:47,3,6,ATL 16,6,23,"Matt Ryan pass incomplete deep left intended for Calvin Ridley. Penalty on Isaiah Johnson: Defensive Pass Interference, 25 yards (no play)",-0.950,1.660
3,5:41,1,10,ATL 41,6,23,Matt Ryan pass complete short right to Russell Gage for 12 yards (tackle by Johnathan Abram),1.660,2.460
3,5:11,1,10,LVR 47,6,23,Brian Hill left tackle for 7 yards (tackle by Nicholas Morrow),2.460,2.860
3,4:34,2,3,LVR 40,6,23,Matt Ryan pass complete short middle to Calvin Ridley for 11 yards (tackle by Jeff Heath),2.860,3.640
3,3:59,1,10,LVR 29,6,23,"Matt Ryan pass incomplete short middle intended for Brian Hill. Penalty on Maxx Crosby: Roughing the Passer, 15 yards (no play)",3.640,4.650
3,3:56,1,10,LVR 14,6,23,Brian Hill right guard for no gain (tackle by Nick Kwiatkoski and Maxx Crosby),4.650,4.000
3,3:12,2,10,LVR 14,6,23,Matt Ryan pass complete short right to Ito Smith for 3 yards (tackle by Nicholas Morrow),4.000,3.620
3,2:35,3,7,LVR 11,6,23,Matt Ryan pass complete short left to Calvin Ridley for 7 yards (tackle by Johnathan Abram),3.620,6.280
3,2:16,1,4,LVR 4,6,23,Matt Ryan pass incomplete short right intended for Russell Gage,6.280,5.340
3,2:11,2,4,LVR 4,6,23,Matt Ryan pass incomplete short right intended for Calvin Ridley (defended by Trayvon Mullen),5.340,4.490
3,2:06,,,,,,Timeout #3 by Atlanta Falcons,,
3,2:06,3,4,LVR 4,6,29,"Matt Ryan pass complete short left to Brandon Powell for 4 yards, touchdown, touchdown",4.490,7.000
3,2:00,,,LVR 15,6,30,Younghoe Koo kicks extra point good,0.000,0.000
3,2:00,,,ATL 35,6,30,"Sterling Hofrichter kicks off 63 yards, returned by Henry Ruggs for 18 yards (tackle by Edmond Robinson). Penalty on Kyle Wilber: Offensive Holding, 10 yards",0.000,-0.380
3,1:53,1,10,LVR 10,6,30,"Josh Jacobs right tackle for 16 yards (tackle by LaRoy Reynolds and Ricardo Allen). Josh Jacobs fumbles (forced by LaRoy Reynolds), recovered by Keanu Neal at LV-27",-0.380,-3.780
3,1:41,1,10,LVR 27,6,30,Ito Smith left end for 1 yard (tackle by Nick Kwiatkoski),3.780,3.370
3,1:02,2,9,LVR 26,6,30,Ito Smith right end for 11 yards (tackle by Maurice Hurst),3.370,4.580
3,0:22,1,10,LVR 15,6,30,Ito Smith right tackle for 2 yards (tackle by Maurice Hurst),4.580,4.280
Quarter,Time,Down,ToGo,Location,LVR,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,LVR 13,6,30,Ito Smith right tackle for 5 yards (tackle by Jeff Heath),4.280,4.450
4,14:18,3,3,LVR 8,6,30,Matt Ryan pass complete short left to Ito Smith for -3 yards (tackle by Nick Kwiatkoski),4.450,2.720
4,13:37,4,6,LVR 11,6,33,Younghoe Koo 29 yard field goal good,2.720,3.000
4,13:33,,,ATL 35,6,33,"Sterling Hofrichter kicks off 65 yards, touchback.",0.000,0.610
4,13:33,1,10,LVR 25,6,33,Devontae Booker left tackle for no gain (tackle by Marlon Davidson and Steven Means),0.610,0.060
4,12:57,2,10,LVR 25,6,33,Derek Carr pass complete short middle to Hunter Renfrow for 19 yards (tackle by Steven Means),0.060,1.860
4,12:24,1,10,LVR 44,6,33,"Derek Carr sacked by Steven Means for -8 yards. Derek Carr fumbles (forced by Steven Means), recovered by LaRoy Reynolds at LV-35",1.860,-3.250
4,12:13,1,10,LVR 35,6,33,Ito Smith left tackle for 24 yards (tackle by Johnathan Abram),3.250,4.840
4,11:26,1,10,LVR 11,6,33,Ito Smith left guard for 3 yards (tackle by Johnathan Abram),4.840,4.700
4,10:59,2,7,LVR 8,6,33,Matt Ryan pass incomplete short right,4.700,3.760
4,10:54,3,7,LVR 8,6,39,"Ito Smith right guard for 8 yards, touchdown",3.760,7.000
4,10:48,,,LVR 15,6,40,Younghoe Koo kicks extra point good,0.000,0.000
4,10:48,,,ATL 35,6,40,"Sterling Hofrichter kicks off 65 yards, touchback.",0.000,0.610
4,10:48,1,10,LVR 25,6,40,Devontae Booker right guard for no gain (tackle by Allen Bailey and Marlon Davidson),0.610,0.060
4,10:19,2,10,LVR 25,6,40,Nathan Peterman pass complete short right to Darren Waller for 4 yards (tackle by AJ Terrell),0.060,-0.100
4,9:38,3,6,LVR 29,6,40,"Penalty on Hunter Renfrow: False Start, 5 yards (no play)",-0.100,-0.760
4,9:38,3,11,LVR 24,6,40,Nathan Peterman pass incomplete short right intended for Devontae Booker (defended by Dante Fowler),-0.760,-1.770
4,9:32,4,11,LVR 24,6,40,"AJ Cole punts 45 yards, fair catch by Brandon Powell at ATL-31",-1.770,-1.000
4,9:24,1,10,ATL 31,6,40,Ito Smith left end for 3 yards (tackle by Johnathan Hankins),1.000,0.870
4,8:40,2,7,ATL 34,6,40,Ito Smith left tackle for 4 yards (tackle by Johnathan Hankins),0.870,0.700
4,7:57,3,3,ATL 38,6,40,Brian Hill right tackle for 22 yards (tackle by Johnathan Abram),0.700,2.920
4,7:18,1,10,LVR 40,6,40,Tony Brooks-James right tackle for -2 yards (tackle by Jeff Heath),2.920,2.100
4,6:30,2,12,LVR 42,6,40,Tony Brooks-James right end for 4 yards (tackle by Johnathan Abram and Trayvon Mullen),2.100,1.950
4,5:45,3,8,LVR 38,6,40,Tony Brooks-James right tackle for 2 yards (tackle by Nicholas Morrow),1.950,0.880
4,5:03,4,6,LVR 36,6,43,Younghoe Koo 54 yard field goal good,0.880,3.000
4,4:57,,,ATL 35,6,43,"Sterling Hofrichter kicks off 65 yards, touchback.",0.000,0.610
4,4:57,1,10,LVR 25,6,43,Devontae Booker right end for 4 yards (tackle by Jacob Tuioti-Mariner and Steven Means),0.610,0.600
4,4:22,2,6,LVR 29,6,43,Nathan Peterman pass complete short right to Darren Waller for 9 yards (tackle by Kendall Sheffield),0.600,1.470
4,4:15,1,10,LVR 38,6,43,Nathan Peterman pass incomplete short left intended for Darren Waller,1.470,0.920
4,4:12,2,10,LVR 38,6,43,Devontae Booker right tackle for 2 yards (tackle by John Cominsky),0.920,0.500
4,3:36,3,8,LVR 40,6,43,Nathan Peterman left guard for 9 yards (tackle by Jacob Tuioti-Mariner),0.500,2.190
4,3:03,1,10,LVR 49,6,43,Nathan Peterman sacked by John Cominsky for -4 yards,2.190,1.110
4,2:30,2,14,LVR 45,6,43,Nathan Peterman pass complete short right to Hunter Renfrow for 12 yards (tackle by Charles Harris),1.110,2.010
4,2:01,3,2,ATL 43,6,43,Nathan Peterman sacked by and Tyeler Davison for -12 yards and Jaylinn Hawkins for -12 yards,2.010,-0.390
4,1:53,4,14,LVR 45,6,43,"AJ Cole punts 42 yards, returned by Brandon Powell for 4 yards (tackle by Dallin Leavitt)",-0.390,0.060
4,1:42,1,10,ATL 17,6,43,Matt Schaub kneels for -1 yards,-0.060,-0.730
4,0:59,2,11,ATL 16,6,43,Matt Schaub kneels for -2 yards,-0.730,-1.720
4,0:32,3,13,ATL 14,6,43,Matt Schaub kneels for -1 yards,-1.720,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
