#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:45,LVR 36,4,2:18,9,Downs
2,1,8:26,LVR 26,1,0:12,-5,Fumble
3,1,7:06,LVR 25,4,2:28,0,Punt
4,1,2:24,LVR 38,9,4:25,51,Field Goal
5,2,11:25,LVR 23,3,1:47,12,Punt
6,2,2:17,LVR 25,7,1:16,37,Fumble
8,3,15:00,LVR 25,3,1:02,1,Punt
9,3,11:53,ATL 36,2,0:17,0,Interception
10,3,11:36,LVR 25,12,4:57,69,Field Goal
11,3,2:00,LVR 10,1,0:19,16,Fumble
12,4,13:33,LVR 25,3,1:20,11,Fumble
13,4,10:48,LVR 25,3,1:24,-1,Punt
14,4,4:57,LVR 25,8,3:15,20,Punt
