Quarter,Time,Tm,Detail,LVR,ATL
1.0,8:26,Falcons,Younghoe Koo 38 yard field goal,0,3
,7:06,Falcons,Younghoe Koo 39 yard field goal,0,6
2.0,12:59,Raiders,Daniel Carlson 29 yard field goal,3,6
,2:17,Falcons,Calvin Ridley 4 yard pass from Matt Ryan (Younghoe Koo kick),3,13
,0:02,Falcons,Younghoe Koo 30 yard field goal,3,16
3.0,11:36,Falcons,Deion Jones 67 yard interception return (Younghoe Koo kick),3,23
,6:39,Raiders,Daniel Carlson 24 yard field goal,6,23
,2:00,Falcons,Brandon Powell 4 yard pass from Matt Ryan (Younghoe Koo kick),6,30
4.0,13:33,Falcons,Younghoe Koo 29 yard field goal,6,33
,10:48,Falcons,Ito Smith 8 yard rush (Younghoe Koo kick),6,40
,4:57,Falcons,Younghoe Koo 54 yard field goal,6,43
