Unnamed: 0,LVR,ATL
First Downs,13,23
Rush-Yds-TDs,14-40-0,32-125-1
Cmp-Att-Yd-TD-INT,25-39-240-0-1,22-39-185-2-1
Sacked-Yards,5-37,1-6
Net Pass Yards,203,179
Total Yards,243,304
Fumbles-Lost,5-4,0-0
Turnovers,5,1
Penalties-Yards,11-141,6-49
Third Down Conv.,3-12,9-19
Fourth Down Conv.,1-2,1-1
Time of Possession,25:02,34:58
