Unnamed: 0,DAL,WAS
First Downs,17,15
Rush-Yds-TDs,22-73-1,32-130-0
Cmp-Att-Yd-TD-INT,22-35-273-1-0,14-25-178-1-0
Sacked-Yards,4-23,1-3
Net Pass Yards,250,175
Total Yards,323,305
Fumbles-Lost,3-2,1-0
Turnovers,2,0
Penalties-Yards,8-65,5-35
Third Down Conv.,5-14,3-12
Fourth Down Conv.,1-2,0-1
Time of Possession,29:05,30:55
