Unnamed: 0,PHI,DAL
First Downs,18,22
Rush-Yds-TDs,27-171-1,24-110-1
Cmp-Att-Yd-TD-INT,16-26-270-2-2,24-35-242-2-2
Sacked-Yards,2-12,1-3
Net Pass Yards,258,239
Total Yards,429,349
Fumbles-Lost,0-0,1-0
Turnovers,2,2
Penalties-Yards,6-59,5-40
Third Down Conv.,4-11,3-11
Fourth Down Conv.,1-1,1-1
Time of Possession,27:51,32:09
