Quarter,Time,Tm,Detail,PHI,DAL
1.0,11:47,Eagles,Michael Vick 1 yard rush (David Akers kick),7,0
,5:33,Cowboys,Jason Witten 1 yard pass from Jon Kitna (David Buehler kick),7,7
2.0,5:49,Eagles,Todd Herremans 2 yard pass from Michael Vick (David Akers kick),14,7
,0:08,Cowboys,David Buehler 50 yard field goal,14,10
3.0,10:18,Cowboys,David Buehler 43 yard field goal,14,13
,7:44,Cowboys,Felix Jones 3 yard rush (David Buehler kick),14,20
,5:06,Eagles,David Akers 39 yard field goal,17,20
4.0,13:57,Eagles,David Akers 50 yard field goal,20,20
,11:24,Eagles,DeSean Jackson 91 yard pass from Michael Vick (David Akers kick),27,20
,8:17,Eagles,David Akers 28 yard field goal,30,20
,4:22,Cowboys,Jason Witten 22 yard pass from Jon Kitna (David Buehler kick),30,27
