Quarter,Time,Tm,Detail,NOR,SFO
1.0,11:23,Saints,Marques Colston 17 yard pass from Drew Brees (Olindo Mare kick),7,0
,3:25,Saints,Olindo Mare 26 yard field goal,10,0
2.0,6:45,Saints,Terrance Copper 2 yard pass from Drew Brees (Olindo Mare kick),17,0
,0:50,Saints,Marques Colston 3 yard pass from Drew Brees (Olindo Mare kick),24,0
3.0,6:05,49ers,Joe Nedney 29 yard field goal,24,3
4.0,8:47,Saints,Marques Colston 15 yard pass from Drew Brees (Olindo Mare kick),31,3
,4:16,49ers,Vernon Davis 7 yard pass from Alex Smith (Joe Nedney kick),31,10
