Unnamed: 0,NOR,SFO
First Downs,26,15
Rush-Yds-TDs,27-102-0,21-83-0
Cmp-Att-Yd-TD-INT,31-39-336-4-0,22-43-190-1-0
Sacked-Yards,0-0,2-13
Net Pass Yards,336,177
Total Yards,438,260
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,4-25,7-66
Third Down Conv.,7-13,10-19
Fourth Down Conv.,0-1,0-1
Time of Possession,32:35,27:25
