Quarter,Time,Tm,Detail,PHI,HOU
1.0,9:37,Texans,Teagan Quitoriano 2 yard pass from Davis Mills (Ka'imi Fairbairn kick),0,7
,1:33,Eagles,Miles Sanders 2 yard rush (Jake Elliott kick),7,7
2.0,4:32,Eagles,Kenneth Gainwell 4 yard rush (Jake Elliott kick),14,7
,0:37,Texans,Chris Moore 13 yard pass from Davis Mills (Ka'imi Fairbairn kick),14,14
3.0,8:04,Eagles,A.J. Brown 17 yard pass from Jalen Hurts (Jake Elliott kick),21,14
,1:15,Texans,Ka'imi Fairbairn 30 yard field goal,21,17
4.0,11:22,Eagles,Dallas Goedert 4 yard pass from Jalen Hurts (Jalen Hurts run),29,17
