Quarter,Time,Down,ToGo,Location,PHI,HOU,Detail,EPB,EPA
1,3:04,2,8,HOU 8,0,7,Jalen Hurts pass complete short right to Kenneth Gainwell for 5 yards (tackle by Christian Harris),4.570,4.720
1,2:17,3,3,HOU 3,0,7,Miles Sanders left guard for 1 yard (tackle by Jalen Pitre),4.720,3.250
1,1:36,4,2,HOU 2,6,7,"Miles Sanders left guard for 2 yards, touchdown",3.250,7.000
1,1:33,,,HOU 15,7,7,Jake Elliott kicks extra point good,0.000,0.000
1,1:33,,,PHI 35,7,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,1:33,1,10,HOU 25,7,7,Dameon Pierce left guard for 5 yards (tackle by T.J. Edwards and Javon Hargrave),0.610,0.740
1,0:58,2,5,HOU 30,7,7,Dameon Pierce up the middle for 6 yards (tackle by Javon Hargrave and Fletcher Cox),0.740,1.330
1,0:20,1,10,HOU 36,7,7,Dameon Pierce right end for -1 yards (tackle by Haason Reddick),1.330,0.660
Quarter,Time,Down,ToGo,Location,PHI,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,HOU 35,7,7,Davis Mills pass complete short right to Brevin Jordan for 5 yards (tackle by Javon Hargrave),0.660,0.630
2,14:14,3,6,HOU 40,7,7,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",0.630,-0.030
2,13:48,3,11,HOU 35,7,7,Davis Mills scrambles left end for 8 yards (tackle by Avonte Maddox and K'Von Wallace),-0.030,-0.520
2,13:07,4,3,HOU 43,7,7,"Cameron Johnston punts 57 yards, touchback.",-0.520,-0.280
2,12:59,1,10,PHI 20,7,7,Jalen Hurts pass complete short middle to A.J. Brown for 31 yards (tackle by Jonathan Owens),0.280,2.320
2,12:35,1,10,HOU 49,7,7,Jalen Hurts pass complete short left to DeVonta Smith for 22 yards (tackle by Steven Nelson),2.320,3.780
2,12:16,1,10,HOU 27,7,7,"Jalen Hurts sacked by Steven Nelson for -7 yards. Jalen Hurts fumbles (forced by Steven Nelson), recovered by Jaleel Johnson at HOU-35",3.780,-1.270
2,12:09,1,10,HOU 35,7,7,Davis Mills pass complete short right to O.J. Howard for 14 yards (tackle by Marcus Epps),1.270,2.190
2,11:34,1,10,HOU 49,7,7,Davis Mills pass incomplete short right intended for O.J. Howard,2.190,1.650
2,11:30,2,10,HOU 49,7,7,Dameon Pierce left guard for 1 yard (tackle by Kyzir White),1.650,1.090
2,10:52,3,9,HOU 50,7,7,Davis Mills sacked by Javon Hargrave for -6 yards,1.090,-0.460
2,10:14,4,15,HOU 44,7,7,"Cameron Johnston punts 43 yards, returned by Britain Covey for 8 yards (tackle by Tavierre Thomas)",-0.460,-0.340
2,10:04,1,10,PHI 21,7,7,Miles Sanders left end for 13 yards (tackle by Jonathan Owens),0.340,1.200
2,9:26,1,10,PHI 34,7,7,Miles Sanders left tackle for 25 yards (tackle by Jonathan Owens),1.200,2.850
2,8:45,1,10,HOU 41,7,7,Boston Scott left end for 5 yards (tackle by Jake Hansen and Jalen Pitre),2.850,2.980
2,8:02,2,5,HOU 36,7,7,Jalen Hurts pass complete to Dallas Goedert for 15 yards (tackle by Thomas Booker and Jake Hansen),2.980,4.170
2,7:36,1,10,HOU 21,7,7,Jalen Hurts pass complete short left to Zach Pascal for 8 yards (tackle by Jonathan Owens),4.170,4.950
2,7:12,2,2,HOU 13,7,7,Miles Sanders up the middle for 1 yard (tackle by Jerry Hughes),4.950,4.490
2,6:29,3,1,HOU 12,7,7,Jalen Hurts left end for 2 yards (tackle by Jonathan Owens and Christian Kirksey),4.490,4.910
2,5:49,1,10,HOU 10,7,7,Miles Sanders up the middle for 6 yards (tackle by Jonathan Owens and Kurt Hinish),4.910,5.340
2,5:22,2,4,HOU 4,7,7,Jalen Hurts left end for no gain (tackle by Jonathan Owens),5.340,4.490
2,4:37,3,4,HOU 4,13,7,"Kenneth Gainwell for 4 yards, touchdown",4.490,7.000
2,4:32,,,HOU 15,14,7,Jake Elliott kicks extra point good,0.000,0.000
2,4:32,,,PHI 35,14,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,4:32,1,10,HOU 25,14,7,Dameon Pierce left guard for 6 yards (tackle by Marvin Wilson),0.610,0.870
2,3:53,2,4,HOU 31,14,7,Dameon Pierce right tackle for 3 yards (tackle by T.J. Edwards and Marvin Wilson),0.870,0.560
2,3:22,3,1,HOU 34,14,7,Dameon Pierce left guard for 3 yards (tackle by Milton Williams),0.560,1.400
2,2:38,,,,,,Timeout #1 by Houston Texans,,
2,2:38,1,10,HOU 37,14,7,Dameon Pierce right tackle for 36 yards (tackle by Avonte Maddox),1.400,3.780
2,2:00,1,10,PHI 27,14,7,Davis Mills pass complete short left to Tyron Johnson for 8 yards (tackle by Avonte Maddox),3.780,4.350
2,1:21,2,2,PHI 19,14,7,Dameon Pierce up the middle for 6 yards (tackle by Marvin Wilson),4.350,4.710
2,0:43,1,10,PHI 13,14,13,"Davis Mills pass incomplete short right intended for Chris Moore Replay Assistant challenged the pass completion ruling, and the original play was overturned. Davis Mills pass complete short right to Chris Moore for 13 yards, touchdown",4.710,7.000
2,0:37,,,PHI 15,14,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,0:37,,,HOU 35,14,14,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,0:37,1,10,PHI 25,14,14,Kenneth Gainwell right guard for 8 yards (tackle by Steven Nelson and Christian Kirksey),0.610,1.140
2,0:31,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:31,2,2,PHI 33,14,14,Jalen Hurts pass complete short right to Kenneth Gainwell for 3 yards (tackle by Steven Nelson),1.140,1.330
2,0:24,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:24,1,10,PHI 36,14,14,Jalen Hurts pass complete deep right to Dallas Goedert for 21 yards (tackle by Jalen Pitre),1.330,2.720
2,0:19,1,10,HOU 43,14,14,Jalen Hurts scrambles left guard for 7 yards (tackle by Mario Addison),2.720,3.120
2,0:03,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:03,,,,,,Timeout #2 by Houston Texans,,
2,0:03,2,3,HOU 36,14,14,Jake Elliott 54 yard field goal no good,3.120,1.800
Quarter,Time,Down,ToGo,Location,PHI,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,14,14,"Ka'imi Fairbairn kicks off 64 yards, returned by Britain Covey for 16 yards (tackle by Blake Cashman and Jalen Reeves-Maybin)",0.000,-0.060
3,14:56,1,10,PHI 17,14,14,Jalen Hurts sacked by Jerry Hughes for -6 yards,-0.060,-1.220
3,14:15,2,16,PHI 11,14,14,Miles Sanders left guard for 13 yards (tackle by Jonathan Owens and Jalen Pitre),-1.220,-0.370
3,13:36,3,3,PHI 24,14,14,Jalen Hurts sacked by Jerry Hughes for -9 yards,-0.370,-2.440
3,12:58,4,12,PHI 15,14,14,"Arryn Siposs punts 47 yards, returned by Desmond King for -2 yards (tackle by Zech McPhearson)",-2.440,-1.330
3,12:49,1,10,HOU 36,14,14,"Davis Mills pass incomplete deep left intended for O.J. Howard. Penalty on Brevin Jordan: Offensive Holding, 10 yards (accepted) (no play)",1.330,0.670
3,12:42,1,20,HOU 26,14,14,Davis Mills pass incomplete short left,0.670,-0.560
3,12:39,2,20,HOU 26,14,14,Dameon Pierce up the middle for -2 yards (tackle by Josh Sweat and C.J. Gardner-Johnson),-0.560,-1.480
3,12:03,3,22,HOU 24,14,14,Davis Mills pass complete short right to Chris Moore for 9 yards (tackle by Darius Slay),-1.480,-1.180
3,11:31,4,13,HOU 33,14,14,"Cameron Johnston punts 67 yards, touchback.",-1.180,-0.280
3,11:21,1,10,PHI 20,14,14,Miles Sanders right guard for 9 yards (tackle by Ogbonnia Okoronkwo and M.J. Stewart),0.280,0.950
3,10:45,2,1,PHI 29,14,14,Miles Sanders up the middle for no gain (tackle by Christian Harris),0.950,0.230
3,10:05,3,1,PHI 29,14,14,"Miles Sanders left guard for 2 yards (tackle by Eric Murray) Replay Assistant challenged the first down ruling, and the original play was overturned. Miles Sanders for -1 yards (tackle by Christian Kirksey)",0.230,-1.500
3,9:57,4,2,PHI 28,14,14,"Arryn Siposs punts 52 yards, fair catch by Desmond King at HOU-20",-1.500,-0.280
3,9:49,1,10,HOU 20,14,14,Dameon Pierce left guard for 6 yards (tackle by Javon Hargrave),0.280,0.540
3,9:07,2,4,HOU 26,14,14,Dameon Pierce left tackle for -2 yards (tackle by Brandon Graham),0.540,-0.430
3,8:23,3,6,HOU 24,14,14,Davis Mills pass deep middle intended for Chris Moore is intercepted by C.J. Gardner-Johnson at HOU-42 and returned for 25 yards (tackle by Teagan Quitoriano),-0.430,-4.440
3,8:13,1,10,HOU 17,14,14,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Rasheem Green),4.440,3.850
3,8:10,2,10,HOU 17,20,14,"Jalen Hurts pass complete deep left to A.J. Brown for 17 yards, touchdown",3.850,7.000
3,8:04,,,HOU 15,21,14,Jake Elliott kicks extra point good,0.000,0.000
3,8:04,,,PHI 35,21,14,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,8:04,1,10,HOU 25,21,14,Davis Mills pass complete short right to Chris Moore for -4 yards (tackle by T.J. Edwards and Kyzir White),0.610,-0.480
3,7:22,2,14,HOU 21,21,14,Davis Mills pass complete short left to Chris Moore for 25 yards (tackle by Kyzir White),-0.480,1.990
3,6:40,1,10,HOU 46,21,14,Dameon Pierce left guard for 3 yards (tackle by Marlon Tuipulotu and Kyzir White),1.990,1.860
3,6:02,2,7,HOU 49,21,14,Dameon Pierce up the middle for 10 yards (tackle by Josh Sweat and Marcus Epps),1.860,2.850
3,5:17,1,10,PHI 41,21,14,Dameon Pierce right tackle for 4 yards (tackle by Kyzir White),2.850,2.850
3,4:40,2,6,PHI 37,21,14,Dameon Pierce left tackle for 6 yards (tackle by James Bradberry),2.850,3.510
3,4:01,1,10,PHI 31,21,14,Dameon Pierce right tackle for 9 yards (tackle by Darius Slay and Marcus Epps),3.510,4.180
3,3:18,2,1,PHI 22,21,14,Rex Burkhead up the middle for 9 yards (tackle by Marcus Epps),4.180,4.710
3,2:39,1,10,PHI 13,21,14,Dameon Pierce left tackle for no gain (tackle by Josh Sweat),4.710,4.050
3,2:06,2,10,PHI 13,21,14,Dameon Pierce left guard for 1 yard (tackle by Josh Sweat and Haason Reddick),4.050,3.280
3,1:24,3,9,PHI 12,21,14,Davis Mills pass incomplete short left intended for Rex Burkhead,3.280,2.630
3,1:18,4,9,PHI 12,21,17,Ka'imi Fairbairn 30 yard field goal good,2.630,3.000
3,1:15,,,HOU 35,21,17,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,1:15,1,10,PHI 25,21,17,Jalen Hurts pass complete short right to Dallas Goedert for 7 yards (tackle by Jalen Pitre),0.610,1.010
3,0:35,2,3,PHI 32,21,17,Jalen Hurts scrambles left end for 5 yards (tackle by Jerry Hughes),1.010,1.400
Quarter,Time,Down,ToGo,Location,PHI,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 37,21,17,Miles Sanders right end for 6 yards (tackle by Jalen Pitre),1.400,1.670
4,14:27,2,4,PHI 43,21,17,Jalen Hurts pass complete short right to Dallas Goedert for 17 yards (tackle by Desmond King),1.670,2.920
4,13:50,1,10,HOU 40,21,17,Jalen Hurts pass complete short right to Dallas Goedert for 10 yards (tackle by Jalen Pitre),2.920,3.580
4,13:12,1,10,HOU 30,21,17,Jalen Hurts pass incomplete short right,3.580,3.030
4,13:05,2,10,HOU 30,21,17,Jalen Hurts pass complete short middle to Dallas Goedert for 10 yards (tackle by Christian Harris),3.030,4.240
4,12:36,1,10,HOU 20,21,17,Miles Sanders right tackle for 12 yards (tackle by Jalen Pitre),4.240,5.370
4,12:10,1,8,HOU 8,21,17,Miles Sanders left tackle for 4 yards (tackle by Jaleel Johnson and Tavierre Thomas),5.370,5.340
4,11:26,2,4,HOU 4,27,17,"Jalen Hurts pass complete short right to Dallas Goedert for 4 yards, touchdown",5.340,7.000
4,11:22,,,HOU 15,27,17,"Penalty on Kurt Hinish: Neutral Zone Infraction, 1 yard (accepted) (no play)",0.000,1.000
4,11:22,1,1,HOU 2,29,17,"Two Point Attempt: Jalen Hurts rushes, conversion succeeds.",1.000,1.000
4,11:22,,,PHI 35,29,17,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,11:22,1,10,HOU 25,29,17,Dameon Pierce left tackle for 2 yards (tackle by Milton Williams and Josh Sweat),0.610,0.330
4,10:44,2,8,HOU 27,29,17,"Davis Mills pass incomplete deep right intended for Phillip Dorsett. Penalty on Javon Hargrave: Roughing the Passer, 15 yards (accepted) (no play)",0.330,1.730
4,10:39,1,10,HOU 42,29,17,Dameon Pierce right end for 4 yards (tackle by Fletcher Cox),1.730,1.730
4,9:54,2,6,HOU 46,29,17,Davis Mills scrambles up the middle for 7 yards (tackle by T.J. Edwards),1.730,2.460
4,9:12,1,10,PHI 47,29,17,Davis Mills pass incomplete short left intended for Phillip Dorsett,2.460,1.910
4,9:08,2,10,PHI 47,29,17,"Davis Mills pass complete deep right to Brevin Jordan for 19 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Davis Mills pass incomplete deep right intended for Brevin Jordan",1.910,1.220
4,9:03,3,10,PHI 47,29,17,Davis Mills sacked by Javon Hargrave for -4 yards,1.220,-0.130
4,8:22,4,14,HOU 49,29,17,"Cameron Johnston punts 41 yards, fair catch by Britain Covey at PHI-10",-0.130,0.380
4,8:15,1,10,PHI 10,29,17,Miles Sanders left tackle for -2 yards (tackle by Christian Harris and Garret Wallow),-0.380,-0.930
4,7:36,2,12,PHI 8,29,17,Jalen Hurts sacked by Kurt Hinish for -4 yards,-0.930,-2.120
4,6:50,3,16,PHI 4,29,17,Kenneth Gainwell up the middle for 8 yards (tackle by M.J. Stewart and Eric Murray),-2.120,-2.490
4,6:05,4,8,PHI 12,29,17,"Arryn Siposs punts 50 yards, fair catch by Desmond King at HOU-38",-2.490,-1.470
4,5:58,1,10,HOU 38,29,17,Davis Mills pass incomplete short left intended for Troy Hairston,1.470,0.920
4,5:53,2,10,HOU 38,29,17,Davis Mills pass complete deep left to Phillip Dorsett for 27 yards (tackle by K'Von Wallace),0.920,3.250
4,5:27,1,10,PHI 35,29,17,Dameon Pierce left tackle for 7 yards (tackle by K'Von Wallace),3.250,3.650
4,4:58,2,3,PHI 28,29,17,Davis Mills pass complete short left to Jalen Camp for 7 yards (tackle by James Bradberry),3.650,4.170
4,4:25,1,10,PHI 21,29,17,Dameon Pierce up the middle for 3 yards (tackle by T.J. Edwards and Kyzir White),4.170,4.040
4,3:49,2,7,PHI 18,29,17,Davis Mills scrambles up the middle for 3 yards (tackle by Kyzir White),4.040,3.810
4,3:07,3,4,PHI 15,29,17,"Davis Mills pass incomplete short left intended for Rex Burkhead. Penalty on Kyzir White: Defensive Pass Interference, 3 yards (accepted) (no play)",3.810,4.780
4,3:03,1,10,PHI 12,29,17,Davis Mills pass incomplete short middle intended for Jordan Akins (defended by Haason Reddick),4.780,4.100
4,2:59,2,10,PHI 12,29,17,Davis Mills sacked by Javon Hargrave for -9 yards,4.100,2.350
4,2:17,3,19,PHI 21,29,17,"Davis Mills pass deep left intended for Phillip Dorsett is intercepted by James Bradberry at PHI-3 and returned for 22 yards (tackle by Davis Mills). Penalty on Phillip Dorsett: Illegal Shift, 5 yards (declined)",2.350,-0.610
4,2:08,1,10,PHI 25,29,17,Miles Sanders left end for -2 yards (tackle by Desmond King and Jerry Hughes),0.610,-0.210
4,2:00,2,12,PHI 23,29,17,Jalen Hurts pass complete short right to A.J. Brown for 2 yards (tackle by Desmond King),-0.210,-0.620
4,1:54,,,,,,Timeout #1 by Houston Texans,,
4,1:54,3,10,PHI 25,29,17,"Jalen Hurts pass complete short right to Dallas Goedert for 15 yards (tackle by M.J. Stewart). Penalty on Jordan Mailata: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.620,-1.290
4,1:47,3,15,PHI 20,29,17,"Jalen Hurts right tackle for 14 yards. Jalen Hurts fumbles (forced by Christian Harris), recovered by Jason Kelce at PHI-34 (tackle by M.J. Stewart)",-1.290,-1.110
4,1:36,,,,,,Timeout #2 by Houston Texans,,
4,1:36,,,,,,Timeout #1 by Philadelphia Eagles,,
4,1:36,4,1,PHI 34,29,17,Jalen Hurts for 1 yard (tackle by Christian Kirksey),-1.110,1.270
4,0:55,1,10,PHI 35,29,17,Jalen Hurts kneels for -1 yards,1.270,0.590
4,0:30,2,11,PHI 34,29,17,Jalen Hurts kneels for -1 yards,0.590,-0.230
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
