Unnamed: 0,PHI,HOU
First Downs,24,20
Rush-Yds-TDs,31-143-2,32-168-0
Cmp-Att-Yd-TD-INT,21-27-243-2-0,13-22-154-2-2
Sacked-Yards,4-26,3-19
Net Pass Yards,217,135
Total Yards,360,303
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,4-31,4-24
Third Down Conv.,5-10,2-9
Fourth Down Conv.,2-2,0-0
Time of Possession,28:13,31:47
