Quarter,Time,Tm,Detail,NYG,SDG
1.0,8:18,Chargers,Keenan Allen 43 yard pass from Philip Rivers (Nick Novak kick),0,7
2.0,11:01,Chargers,Nick Novak 36 yard field goal,0,10
,3:49,Chargers,Keenan Allen 4 yard pass from Philip Rivers (Nick Novak kick),0,17
,0:19,Chargers,Danny Woodhead 6 yard pass from Philip Rivers (Nick Novak kick),0,24
3.0,10:45,Giants,Peyton Hillis 1 yard rush (Josh Brown kick),7,24
,5:06,Chargers,Ryan Mathews 1 yard rush (Nick Novak kick),7,31
4.0,14:54,Giants,Brandon Myers 5 yard pass from Eli Manning (Josh Brown kick),14,31
,7:31,Chargers,Nick Novak 27 yard field goal,14,34
,3:24,Chargers,Nick Novak 43 yard field goal,14,37
