Unnamed: 0,NYG,SDG
First Downs,18,25
Rush-Yds-TDs,20-92-1,40-144-1
Cmp-Att-Yd-TD-INT,20-32-259-1-2,21-28-249-3-0
Sacked-Yards,2-18,2-5
Net Pass Yards,241,244
Total Yards,333,388
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,7-72,6-30
Third Down Conv.,3-8,10-15
Fourth Down Conv.,1-2,0-0
Time of Possession,23:04,36:56
