Quarter,Time,Tm,Detail,PIT,HOU
1.0,4:05,Texans,Owen Daniels 1 yard pass from Matt Schaub (Neil Rackers kick),0,7
2.0,2:33,Texans,Neil Rackers 25 yard field goal,0,10
3.0,7:02,Steelers,Rashard Mendenhall 3 yard rush (Shaun Suisham kick),7,10
4.0,14:57,Steelers,Shaun Suisham 26 yard field goal,10,10
,12:02,Texans,Arian Foster 42 yard rush (Neil Rackers kick),10,17
