Unnamed: 0,PIT,HOU
First Downs,20,17
Rush-Yds-TDs,22-118-1,35-180-1
Cmp-Att-Yd-TD-INT,16-30-206-0-1,14-21-138-1-0
Sacked-Yards,5-28,0-0
Net Pass Yards,178,138
Total Yards,296,318
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,5-45,9-64
Third Down Conv.,5-12,6-12
Fourth Down Conv.,0-1,0-0
Time of Possession,28:17,31:43
