Unnamed: 0,JAX,IND
First Downs,25,19
Rush-Yds-TDs,48-236-1,19-114-2
Cmp-Att-Yd-TD-INT,16-22-167-0-1,15-29-216-1-2
Sacked-Yards,0-0,1-5
Net Pass Yards,167,211
Total Yards,403,325
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,5-44,6-37
Third Down Conv.,8-14,5-9
Fourth Down Conv.,0-1,1-1
Time of Possession,41:35,18:25
