Quarter,Time,Tm,Detail,JAX,IND
1.0,11:03,Colts,Marvin Harrison 4 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
2.0,12:33,Jaguars,Josh Scobee 26 yard field goal,3,7
,5:10,Jaguars,Rashean Mathis 61 yard interception return (Josh Scobee kick),10,7
,1:28,Colts,Joseph Addai 3 yard rush (Adam Vinatieri kick),10,14
3.0,1:17,Jaguars,Maurice Jones-Drew 6 yard rush (Josh Scobee kick),17,14
4.0,2:33,Jaguars,Josh Scobee 21 yard field goal,20,14
,1:07,Colts,Joseph Addai 2 yard rush (Adam Vinatieri kick),20,21
,0:04,Jaguars,Josh Scobee 51 yard field goal,23,21
