Quarter,Time,Tm,Detail,TEN,BAL
1,8:37,Titans,Jonnu Smith 1 yard pass from Ryan Tannehill (Stephen Gostkowski kick),7,0
,1:50,Ravens,Justin Tucker 30 yard field goal,7,3
2,11:05,Ravens,Justin Tucker 27 yard field goal,7,6
,5:17,Ravens,J.K. Dobbins 2 yard rush (J.K. Dobbins pass from Lamar Jackson),7,14
,0:48,Titans,Stephen Gostkowski 40 yard field goal,10,14
3,9:34,Ravens,Mark Andrews 31 yard pass from Lamar Jackson (Justin Tucker kick),10,21
,5:33,Titans,Stephen Gostkowski 40 yard field goal,13,21
4,11:12,Titans,Stephen Gostkowski 22 yard field goal,16,21
,2:18,Titans,A.J. Brown 14 yard pass from Ryan Tannehill (Ryan Tannehill run),24,21
,0:15,Ravens,Justin Tucker 29 yard field goal,24,24
OT,5:21,Titans,Derrick Henry 29 yard rush,30,24
