Quarter,Time,Down,ToGo,Location,TEN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Stephen Gostkowski kicks off 66 yards, returned by Devin Duvernay for 37 yards (tackle by Chris Jackson)",0.000,1.330
1,14:54,1,10,BAL 36,0,0,Gus Edwards left guard for 3 yards (tackle by Amani Hooker and Rashaan Evans),1.330,1.200
1,14:17,2,7,BAL 39,0,0,Lamar Jackson pass incomplete deep right intended for Willie Snead (defended by Breon Borders),1.200,0.500
1,14:12,3,7,BAL 39,0,0,Lamar Jackson pass incomplete deep right intended for Dez Bryant. Penalty on Ben Powers: Offensive Holding (Declined),0.500,-0.780
1,14:04,4,7,BAL 39,0,0,Sam Koch punts 40 yards downed by Anthony Levine,-0.780,-0.340
1,13:53,1,10,TEN 21,0,0,"Ryan Tannehill pass incomplete deep left intended for A.J. Brown (defended by Marlon Humphrey). Penalty on Marlon Humphrey: Defensive Pass Interference, 39 yards (no play)",0.340,2.920
1,13:45,1,10,BAL 40,0,0,Derrick Henry right end for 4 yards (tackle by Justin Ellis),2.920,2.910
1,13:13,2,6,BAL 36,0,0,Derrick Henry left tackle for -5 yards (tackle by Marlon Humphrey),2.910,1.550
1,12:28,3,11,BAL 41,0,0,Ryan Tannehill pass complete short right to Cameron Batson for 14 yards (tackle by Matt Judon),1.550,3.780
1,11:51,1,10,BAL 27,0,0,Derrick Henry left guard for 5 yards (tackle by Patrick Queen and Malik Harrison),3.780,3.910
1,11:11,2,5,BAL 22,0,0,Ryan Tannehill pass complete short left to Anthony Firkser for 7 yards (tackle by Patrick Queen),3.910,4.580
1,10:37,1,10,BAL 15,0,0,Derrick Henry right end for 2 yards (tackle by Patrick Queen),4.580,4.280
1,9:58,2,8,BAL 13,0,0,Ryan Tannehill pass complete short middle to Jonnu Smith for 8 yards (tackle by DeShon Elliott and Patrick Queen),4.280,6.060
1,9:19,1,5,BAL 5,0,0,Cameron Batson left end for 4 yards (tackle by Patrick Queen),6.060,5.910
1,8:42,2,1,BAL 1,6,0,"Ryan Tannehill pass complete short left to Jonnu Smith for 1 yard, touchdown",5.910,7.000
1,8:37,,,BAL 15,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,8:37,,,TEN 35,7,0,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
1,8:37,1,10,BAL 25,7,0,Lamar Jackson right tackle for 2 yards (tackle by Rashaan Evans),0.610,0.330
1,7:55,2,8,BAL 27,7,0,Lamar Jackson pass complete short middle to Devin Duvernay for 5 yards (tackle by Kevin Byard),0.330,0.300
1,7:18,3,3,BAL 32,7,0,Lamar Jackson right end for 5 yards (tackle by Kevin Byard),0.300,1.400
1,6:38,1,10,BAL 37,7,0,Mark Ingram right tackle for no gain (tackle by Jayon Brown and Desmond King),1.400,0.860
1,5:52,2,10,BAL 37,7,0,Lamar Jackson pass incomplete short middle intended for Marquise Brown,0.860,0.170
1,5:47,3,10,BAL 37,7,0,Lamar Jackson pass complete short middle to Mark Andrews for 14 yards (tackle by Joshua Kalu and Kevin Byard),0.170,2.320
1,5:10,1,10,TEN 49,7,0,Mark Ingram left end for 2 yards (tackle by Matt Dickerson and Rashaan Evans),2.320,2.050
1,4:32,2,8,TEN 47,7,0,J.K. Dobbins right end for 10 yards (tackle by Desmond King),2.050,3.120
1,3:51,1,10,TEN 37,7,0,"Lamar Jackson right end for 7 yards (tackle by Breon Borders). Penalty on Desmond King: Face Mask (15 Yards), 15 yards",3.120,4.580
1,3:24,1,10,TEN 15,7,0,Lamar Jackson pass incomplete short right intended for Mark Andrews (defended by Kevin Byard),4.580,3.950
1,3:19,2,10,TEN 15,7,0,Gus Edwards left end for 1 yard (tackle by DaQuan Jones),3.950,3.240
1,2:36,3,9,TEN 14,7,0,Lamar Jackson right guard for 2 yards (tackle by Rashaan Evans),3.240,2.630
1,1:54,4,7,TEN 12,7,3,Justin Tucker 30 yard field goal good,2.630,3.000
1,1:50,,,BAL 35,7,3,"Justin Tucker kicks off 63 yards, returned by Cameron Batson for 14 yards (tackle by Justice Hill)",0.000,-0.140
1,1:45,1,10,TEN 16,7,3,Derrick Henry left end for 8 yards (tackle by L.J. Fort and Patrick Queen),-0.140,0.550
1,1:12,2,2,TEN 24,7,3,Derrick Henry right guard for 8 yards (tackle by Patrick Queen and DeShon Elliott),0.550,1.070
1,0:36,1,10,TEN 32,7,3,Ryan Tannehill pass complete short left to Derrick Henry for -1 yards (tackle by Malik Harrison),1.070,0.390
Quarter,Time,Down,ToGo,Location,TEN,BAL,Detail,EPB,EPA
