Unnamed: 0,TEN,BAL
First Downs,26,21
Rush-Yds-TDs,34-173-1,33-129-1
Cmp-Att-Yd-TD-INT,23-32-266-2-1,17-29-186-1-1
Sacked-Yards,2-16,1-9
Net Pass Yards,250,177
Total Yards,423,306
Fumbles-Lost,3-0,0-0
Turnovers,1,1
Penalties-Yards,4-44,6-81
Third Down Conv.,5-12,9-15
Fourth Down Conv.,1-1,0-0
Time of Possession,33:33,31:06
