Unnamed: 0,SFO,GNB
First Downs,22,18
Rush-Yds-TDs,30-167-1,31-124-1
Cmp-Att-Yd-TD-INT,16-30-227-1-1,17-26-177-1-0
Sacked-Yards,3-13,4-20
Net Pass Yards,214,157
Total Yards,381,281
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,2-10,3-20
Third Down Conv.,6-12,3-11
Fourth Down Conv.,1-1,1-1
Time of Possession,29:06,30:54
