Quarter,Time,Tm,Detail,SFO,GNB
1.0,9:00,49ers,Phil Dawson 22 yard field goal,3,0
,2:17,49ers,Phil Dawson 25 yard field goal,6,0
2.0,5:50,Packers,Jordy Nelson 5 yard pass from Aaron Rodgers (Mason Crosby kick),6,7
,2:48,49ers,Frank Gore 10 yard rush (Phil Dawson kick),13,7
,0:00,Packers,Mason Crosby 34 yard field goal,13,10
4.0,12:06,Packers,John Kuhn 1 yard rush (Mason Crosby kick),13,17
,10:31,49ers,Vernon Davis 28 yard pass from Colin Kaepernick (Phil Dawson kick),20,17
,5:06,Packers,Mason Crosby 24 yard field goal,20,20
,0:00,49ers,Phil Dawson 33 yard field goal,23,20
