Quarter,Time,Tm,Detail,MIN,WAS
1.0,10:05,Vikings,Chester Taylor 4 yard rush,6,0
,1:55,Redskins,John Hall 27 yard field goal,6,3
2.0,8:06,Redskins,Clinton Portis 5 yard rush (John Hall kick),6,10
,1:05,Redskins,John Hall 27 yard field goal,6,13
,0:00,Vikings,Ryan Longwell 46 yard field goal,9,13
3.0,9:38,Vikings,Marcus Robinson 20 yard pass from Brad Johnson (Ryan Longwell kick),16,13
,4:25,Redskins,John Hall 22 yard field goal,16,16
4.0,1:00,Vikings,Ryan Longwell 31 yard field goal,19,16
