Quarter,Time,Down,ToGo,Location,MIN,WAS,Detail,EPB,EPA
2,13:43,1,20,MIN 26,6,3,Brad Johnson pass incomplete short right intended for Chester Taylor (defended by Demetric Evans),0.670,-0.560
2,13:13,2,20,MIN 26,6,3,Chester Taylor middle for 2 yards (tackle by Phillip Daniels),-0.560,-0.960
2,13:13,3,18,MIN 28,6,3,Brad Johnson pass incomplete deep middle intended for Marcus Robinson (defended by Carlos Rogers),-0.960,-1.500
2,12:26,4,18,MIN 28,6,3,"Chris Kluwe punts 35 yards, returned by Antwaan Randle El for 12 yards (tackle by Heath Farwell)",-1.500,-2.190
2,12:10,1,10,WAS 49,6,3,Clinton Portis left end for -2 yards (tackle by Fred Smoot),2.190,1.380
2,11:27,2,12,WAS 47,6,3,Mark Brunell pass complete short right to Ladell Betts for 6 yards (tackle by Antoine Winfield),1.380,1.490
2,10:41,3,6,MIN 47,6,3,Mark Brunell pass complete short left to Antwaan Randle El for 6 yards (tackle by Ronyell Whitaker),1.490,2.850
2,10:00,1,10,MIN 41,6,3,Ladell Betts right end for no gain (tackle by E.J. Henderson),2.850,2.310
2,9:23,2,10,MIN 41,6,3,Mark Brunell pass complete short middle to Chris Cooley for 6 yards (tackle by Napoleon Harris),2.310,2.410
2,8:44,3,4,MIN 35,6,3,"Mark Brunell pass complete short left to Ladell Betts for 25 yards (tackle by Darren Sharper). Ladell Betts fumbles (forced by Darren Sharper), ball out of bounds at MIN-10. Penalty on Spencer Johnson: Unsportsmanlike Conduct, 5 yards",2.410,6.060
2,8:11,1,5,MIN 5,6,9,"Clinton Portis left end for 5 yards, touchdown",6.060,7.000
2,8:11,,,MIN 2,6,10,John Hall kicks extra point good,0.000,0.000
2,8:06,,,WAS 30,6,10,"Derrick Frost kicks off 53 yards, returned by Troy Williamson for 22 yards (tackle by Kenny Wright)",0.000,1.530
2,7:58,1,10,MIN 39,6,10,"Brad Johnson sacked by Demetric Evans for -2 yards. Bethel Johnson fumbles (forced by Demetric Evans), recovered by Matt Birk at MIN-39",1.530,0.990
2,7:11,2,10,MIN 39,6,10,Chester Taylor right end for 1 yard (tackle by Andre Carter),0.990,0.430
2,6:31,3,9,MIN 40,6,10,Brad Johnson pass incomplete short left intended for Troy Williamson,0.430,-0.720
2,6:26,4,9,MIN 40,6,10,Chris Kluwe punts 36 yards,-0.720,-0.610
2,6:16,1,10,WAS 25,6,10,Clinton Portis left end for 7 yards (tackle by Greg Blue),0.610,1.010
2,5:43,2,3,WAS 32,6,10,Santana Moss left end for -1 yards (tackle by Erasmus James),1.010,0.170
2,5:04,3,4,WAS 31,6,10,Mark Brunell pass incomplete short left intended for Chris Cooley,0.170,-1.310
2,4:50,4,4,WAS 31,6,10,"Derrick Frost punts 48 yards, returned by Mewelde Moore for 9 yards (tackle by Jeff Posey). Penalty on Greg Blue: Offensive Holding, 10 yards",-1.310,-0.040
2,4:39,1,10,MIN 18,6,10,Chester Taylor right end for 2 yards (tackle by Kedric Golston),0.040,-0.130
2,4:04,2,8,MIN 20,6,10,Chester Taylor left end for 1 yard (tackle by Andre Carter),-0.130,-0.790
2,3:19,3,7,MIN 21,6,10,"Brad Johnson pass complete short right to Troy Williamson for 9 yards (tackle by Mike Rumph). Penalty on MIN: Illegal Formation, 5 yards (no play)",-0.790,-1.500
2,2:43,,,,6,10,Timeout #2 by Washington Redskins,0.000,-1.500
2,2:43,3,12,MIN 16,6,10,Brad Johnson pass complete short right to Jermaine Wiggins for 5 yards (tackle by Lemar Marshall),-1.500,-1.960
2,2:30,,,,6,10,Timeout #3 by Washington Redskins,0.000,-1.960
2,2:30,4,7,MIN 21,6,10,"Chris Kluwe punts 37 yards, returned by Antwaan Randle El for 15 yards (tackle by Richard Owens)",-1.960,-2.720
2,2:21,1,10,MIN 43,6,10,Mark Brunell pass complete deep right to Santana Moss for 37 yards (tackle by Antoine Winfield). Penalty on Antoine Winfield: Illegal Contact (Declined),2.720,5.830
2,2:00,1,6,MIN 6,6,10,"Mark Brunell for no gain. Mark Brunell fumbles, recovered by Clinton Portis at MIN-9",5.830,4.380
2,1:19,2,9,MIN 9,6,10,Mark Brunell pass incomplete short left intended for Chris Cooley,4.380,3.360
2,1:15,3,9,MIN 9,6,10,Mark Brunell pass incomplete short middle intended for Santana Moss (defended by Darren Sharper),3.360,2.830
2,1:09,4,9,MIN 9,6,13,John Hall 27 yard field goal good,2.830,3.000
2,1:05,,,WAS 30,6,13,"Derrick Frost kicks off 70 yards, returned by Troy Williamson for 44 yards (tackle by Derrick Frost)",0.000,1.860
2,0:56,1,10,MIN 44,6,13,Mewelde Moore right guard for 2 yards (tackle by Adam Archuleta),1.860,1.590
2,0:49,,,,6,13,Timeout #1 by Minnesota Vikings,0.000,1.590
2,0:49,2,8,MIN 46,6,13,"Brad Johnson pass incomplete short middle intended for Jermaine Wiggins. Penalty on Marcus Washington: Defensive Holding, 5 yards (no play)",1.590,2.320
2,0:45,1,10,WAS 49,6,13,Brad Johnson pass complete short middle to Jermaine Wiggins for 15 yards (tackle by Lemar Marshall),2.320,3.310
2,0:37,,,,6,13,Timeout #2 by Minnesota Vikings,0.000,3.310
2,0:36,1,10,WAS 34,6,13,Brad Johnson pass incomplete deep right intended for Marcus Robinson (defended by Mike Rumph),3.310,2.770
2,0:30,2,10,WAS 34,6,13,Brad Johnson pass incomplete deep right intended for Troy Williamson,2.770,2.080
2,0:24,3,10,WAS 34,6,13,Brad Johnson pass complete short right to Troy Williamson for 6 yards (tackle by Mike Rumph and Lemar Marshall),2.080,1.650
2,0:03,,,,6,13,Timeout #3 by Minnesota Vikings,0.000,1.650
2,0:03,4,4,WAS 28,9,13,Ryan Longwell 46 yard field goal good,1.650,3.000
Quarter,Time,Down,ToGo,Location,MIN,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,9,13,"Ryan Longwell kicks off 61 yards, returned by Rock Cartwright for 21 yards (tackle by Ciatrick Fason)",0.000,0.940
3,14:55,1,10,WAS 30,9,13,"Penalty on Derrick Dockery: False Start, 5 yards (no play)",0.940,0.610
3,14:55,1,15,WAS 25,9,13,Mark Brunell pass incomplete deep left intended for Brandon Lloyd,0.610,-0.280
3,14:48,2,15,WAS 25,9,13,Ladell Betts left end for 1 yard (tackle by Pat Williams),-0.280,-0.820
3,14:06,3,14,WAS 26,9,13,Mark Brunell pass incomplete short left intended for Brandon Lloyd,-0.820,-1.630
3,14:01,4,14,WAS 26,9,13,"Derrick Frost punts 50 yards, returned by Mewelde Moore for 20 yards (tackle by Derrick Frost)",-1.630,-1.860
3,13:48,1,10,MIN 44,9,13,Chester Taylor right tackle for 3 yards (tackle by Cornelius Griffin),1.860,1.720
3,13:19,2,7,MIN 47,9,13,Chester Taylor right tackle for no gain (tackle by Lemar Marshall),1.720,1.030
3,12:41,3,7,MIN 47,9,13,"Brad Johnson pass incomplete deep left intended for Troy Williamson. Penalty on Kenny Wright: Defensive Holding, 5 yards (no play)",1.030,2.390
3,12:34,1,10,WAS 48,9,13,Chester Taylor left tackle for 1 yard (tackle by Warrick Holdman and Marcus Washington),2.390,1.980
3,11:57,2,9,WAS 47,9,13,Brad Johnson pass incomplete deep middle intended for Troy Williamson (defended by Carlos Rogers),1.980,1.290
3,11:47,3,9,WAS 47,9,13,Brad Johnson pass complete deep middle to Billy McMullen for 22 yards (tackle by Adam Archuleta),1.290,3.910
3,11:05,1,10,WAS 25,9,13,Chester Taylor left end for 5 yards (tackle by Adam Archuleta and Warrick Holdman),3.910,4.040
3,10:27,2,5,WAS 20,9,13,Chester Taylor right end for no gain (tackle by Warrick Holdman),4.040,3.340
3,9:45,3,5,WAS 20,15,13,"Brad Johnson pass complete deep left to Marcus Robinson for 20 yards, touchdown",3.340,7.000
3,9:45,,,WAS 2,16,13,Ryan Longwell kicks extra point good,0.000,0.000
3,9:38,,,MIN 30,16,13,"Ryan Longwell kicks off 56 yards, returned by Rock Cartwright for 21 yards (tackle by Ronyell Whitaker)",0.000,1.270
3,9:32,1,10,WAS 35,16,13,Clinton Portis right guard for 15 yards (tackle by Antoine Winfield),1.270,2.260
3,8:54,1,10,WAS 50,16,13,Clinton Portis middle for 3 yards (tackle by Napoleon Harris),2.260,2.120
3,8:15,2,7,MIN 47,16,13,Mark Brunell pass complete deep middle to James Thrash for 19 yards (tackle by Antoine Winfield),2.120,3.710
3,7:32,1,10,MIN 28,16,13,Clinton Portis middle for 4 yards (tackle by Pat Williams),3.710,3.710
3,6:50,2,6,MIN 24,16,13,Antwaan Randle El left tackle for 3 yards (tackle by E.J. Henderson),3.710,3.400
3,6:08,3,3,MIN 21,16,13,"Mark Brunell pass incomplete short left intended for Brandon Lloyd (defended by Fred Smoot). Penalty on Erasmus James: Roughing the Passer, 10 yards (no play)",3.400,4.840
3,6:02,1,10,MIN 11,16,13,Ladell Betts right end for 7 yards (tackle by Antoine Winfield),4.840,5.470
3,5:20,2,3,MIN 4,16,13,Clinton Portis left end for no gain (tackle by E.J. Henderson),5.470,4.670
3,4:35,3,3,MIN 4,16,13,Mark Brunell pass incomplete short right intended for Chris Cooley,4.670,3.030
3,4:28,4,3,MIN 4,16,16,John Hall 22 yard field goal good,3.030,3.000
3,4:25,,,WAS 30,16,16,"Derrick Frost kicks off 65 yards, returned by Troy Williamson for 16 yards (tackle by Rocky McIntosh)",0.000,0.340
3,4:20,1,10,MIN 21,16,16,Brad Johnson pass complete short right to Jim Kleinsasser for 8 yards (tackle by Kenny Wright),0.340,0.880
3,3:45,2,2,MIN 29,16,16,Chester Taylor left tackle for 4 yards (tackle by Lemar Marshall),0.880,1.140
3,3:01,1,10,MIN 33,16,16,Brad Johnson pass incomplete short right intended for Jermaine Wiggins,1.140,0.590
3,2:55,2,10,MIN 33,16,16,Brad Johnson pass complete short left to Chester Taylor for 7 yards (tackle by Joe Salave'a),0.590,0.830
3,2:08,3,3,MIN 40,16,16,Brad Johnson pass complete short right to Chester Taylor for 24 yards (tackle by Sean Taylor),0.830,3.180
3,1:37,1,10,WAS 36,16,16,Chester Taylor right end for 8 yards (tackle by Sean Taylor),3.180,3.720
3,1:01,2,2,WAS 28,16,16,"Penalty on Bryant McKinnie: False Start, 5 yards (no play)",3.720,3.040
3,0:32,2,7,WAS 33,16,16,Mewelde Moore left tackle for -3 yards (tackle by Kedric Golston),3.040,1.950
Quarter,Time,Down,ToGo,Location,MIN,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,WAS 36,16,16,Brad Johnson pass incomplete short middle intended for Marcus Robinson,1.950,0.880
4,14:56,4,10,WAS 36,16,16,Ryan Longwell 54 yard field goal no good,0.880,-1.860
4,14:51,1,10,WAS 44,16,16,Mark Brunell pass complete short right to Clinton Portis for 8 yards (tackle by Antoine Winfield),1.860,2.400
4,14:11,2,2,MIN 48,16,16,Clinton Portis right end for 5 yards (tackle by Erasmus James),2.400,2.720
4,13:33,1,10,MIN 43,16,16,Clinton Portis right end for 1 yard (tackle by Darrion Scott),2.720,2.310
4,12:50,2,9,MIN 42,16,16,Mark Brunell pass complete short left to Chris Cooley for -9 yards (tackle by Fred Smoot),2.310,0.430
4,12:03,3,18,WAS 49,16,16,Mark Brunell pass incomplete short left intended for Brandon Lloyd,0.430,-0.130
4,11:59,4,18,WAS 49,16,16,Derrick Frost punts 49 yards,-0.130,0.380
4,11:48,1,10,MIN 3,16,16,Chester Taylor right end for 5 yards (tackle by Lemar Marshall),-0.380,-0.420
4,11:05,2,5,MIN 8,16,16,"Brad Johnson pass incomplete deep left intended for Marcus Robinson (defended by Carlos Rogers). Penalty on Sean Taylor: Unnecessary Roughness, 15 yards (no play)",-0.420,0.480
4,10:59,1,10,MIN 23,16,16,Chester Taylor right tackle for 2 yards (tackle by Lemar Marshall),0.480,0.200
4,10:21,2,8,MIN 25,16,16,Chester Taylor left end for -1 yards (tackle by Demetric Evans),0.200,-0.630
4,9:39,3,9,MIN 24,16,16,Brad Johnson pass complete deep middle to Travis Taylor for 24 yards (tackle by Sean Taylor and Lemar Marshall),-0.630,2.130
4,8:56,1,10,MIN 48,16,16,Chester Taylor left end for 8 yards (tackle by Adam Archuleta),2.130,2.660
4,8:17,2,2,WAS 44,16,16,"Chester Taylor left end for -6 yards (tackle by Adam Archuleta). Penalty on Adam Archuleta: Face Mask (5 Yards), 5 yards",2.660,2.660
4,7:56,2,2,WAS 44,16,16,Brad Johnson pass incomplete short left intended for Troy Williamson,2.660,1.950
4,7:51,3,2,WAS 44,16,16,Brad Johnson pass incomplete deep right intended for Jim Kleinsasser,1.950,0.330
4,7:45,4,2,WAS 44,16,16,"Chris Kluwe punts 44 yards, touchback",0.330,-0.280
4,7:36,1,10,WAS 20,16,16,Mark Brunell pass complete short right to Antwaan Randle El for 12 yards (tackle by Antoine Winfield),0.280,1.070
4,6:56,1,10,WAS 32,16,16,Ladell Betts left end for 2 yards (tackle by Fred Smoot),1.070,0.800
4,6:15,2,8,WAS 34,16,16,Mark Brunell pass complete short left to Mike Sellers for 2 yards (tackle by E.J. Henderson),0.800,0.370
4,5:46,3,6,WAS 36,16,16,Mark Brunell pass incomplete short left intended for Ladell Betts (defended by Ray Edwards),0.370,-0.980
4,5:42,4,6,WAS 36,16,16,"Derrick Frost punts 36 yards, fair catch by Mewelde Moore. Penalty on Mike Sellers: Ineligible Downfield Kic, 5 yards",-0.980,-1.140
4,5:34,1,10,MIN 33,16,16,Chester Taylor right tackle for 4 yards (tackle by Kedric Golston and Marcus Washington),1.140,1.130
4,5:00,2,6,MIN 37,16,16,Chester Taylor middle for 10 yards (tackle by Lemar Marshall),1.130,2.060
4,4:19,1,10,MIN 47,16,16,Brad Johnson pass complete short right to Jermaine Wiggins for no gain,2.060,1.520
4,3:34,2,10,MIN 47,16,16,Chester Taylor right tackle for 1 yard (tackle by Marcus Washington),1.520,0.960
4,2:50,3,9,MIN 48,16,16,"Brad Johnson pass complete short right to Troy Williamson for 13 yards (tackle by Sean Taylor). Penalty on Sean Taylor: Face Mask (15 Yards), 15 yards",0.960,3.970
4,2:37,1,10,WAS 24,16,16,Chester Taylor left tackle for 9 yards (tackle by Carlos Rogers and Lemar Marshall),3.970,4.850
4,2:26,,,,16,16,Timeout #1 by Washington Redskins,0.000,4.850
4,2:26,2,1,WAS 15,16,16,Chester Taylor middle for 4 yards (tackle by Warrick Holdman and Adam Archuleta),4.850,4.840
4,2:00,1,10,WAS 11,16,16,Chester Taylor left end for no gain (tackle by Adam Archuleta and Warrick Holdman),4.840,4.140
4,1:54,,,,16,16,Timeout #2 by Washington Redskins,0.000,4.140
4,1:54,2,10,WAS 11,16,16,Chester Taylor left end for -2 yards (tackle by Adam Archuleta),4.140,3.080
4,1:49,,,,16,16,Timeout #3 by Washington Redskins,0.000,3.080
4,1:49,3,12,WAS 13,16,16,Chester Taylor left end for no gain (tackle by Lemar Marshall),3.080,2.570
4,1:04,,,,16,16,Timeout #1 by Minnesota Vikings,0.000,2.570
4,1:04,4,12,WAS 13,19,16,Ryan Longwell 31 yard field goal good,2.570,3.000
4,1:00,,,MIN 30,19,16,"Ryan Longwell kicks off 59 yards, returned by Ladell Betts for 27 yards (tackle by Dontarrious Thomas)",0.000,1.470
4,0:54,1,10,WAS 38,19,16,Mark Brunell pass complete deep right to Santana Moss for 23 yards (tackle by Greg Blue),1.470,2.980
4,0:47,1,10,MIN 39,19,16,Mark Brunell pass complete short right to Antwaan Randle El for 4 yards (tackle by Darren Sharper),2.980,2.980
4,0:29,2,6,MIN 35,19,16,Mark Brunell pass incomplete short left intended for Brandon Lloyd,2.980,2.280
4,0:22,3,6,MIN 35,19,16,Mark Brunell pass complete short right to Antwaan Randle El for 5 yards,2.280,1.520
4,0:17,4,1,MIN 30,19,16,John Hall 48 yard field goal no good,1.520,-1.470
4,0:12,1,10,MIN 38,19,16,Brad Johnson kneels for -1 yards,1.470,0.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
