Unnamed: 0,MIN,WAS
First Downs,18,15
Rush-Yds-TDs,34-86-1,25-103-1
Cmp-Att-Yd-TD-INT,16-30-223-1-0,17-28-163-0-0
Sacked-Yards,1-0,0-0
Net Pass Yards,223,163
Total Yards,309,266
Fumbles-Lost,2-0,2-0
Turnovers,0,0
Penalties-Yards,9-60,7-55
Third Down Conv.,9-17,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:44,28:16
