Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Davante Adams,LVR,17,10,146,2,6,87,8.7,59,5.9,11.4,3,3.3,2,11.8,0,126.1
Josh Jacobs,LVR,3,3,20,0,1,-5,-1.7,25,8.3,-1.7,0,,0,0.0,0,94.4
Hunter Renfrow,LVR,4,3,26,0,1,22,7.3,4,1.3,7.5,0,,0,0.0,0,91.7
Mack Hollins,LVR,4,2,17,0,1,17,8.5,0,0.0,16.3,0,,0,0.0,0,61.5
Foster Moreau,LVR,5,2,42,0,2,21,10.5,21,10.5,12.2,0,,0,0.0,0,70.4
Ameer Abdullah,LVR,3,1,8,0,,-5,-5.0,13,13.0,3.3,0,,1,33.3,0,42.4
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Christian Kirk,JAX,9,8,76,1,5,55,6.9,21,2.6,6.1,0,,0,0.0,0,138.9
Marvin Jones,JAX,6,5,48,0,3,43,8.6,5,1.0,11.2,0,,0,0.0,0,100.0
Zay Jones,JAX,5,5,40,0,2,20,4.0,20,4.0,4.0,0,,0,0.0,0,100.0
Travis Etienne,JAX,2,2,17,0,0,1,0.5,16,8.0,0.5,0,,0,0.0,0,102.1
Dan Arnold,JAX,1,1,19,0,1,12,12.0,7,7.0,12.0,0,,0,0.0,0,118.7
Evan Engram,JAX,2,1,8,0,,-3,-3.0,11,11.0,1.5,0,,1,50.0,0,60.4
Luke Farrell,JAX,1,1,15,0,1,2,2.0,13,13.0,2.0,0,,0,0.0,0,118.7
Jamycal Hasty,JAX,1,1,5,0,,-1,-1.0,6,6.0,-1.0,0,,0,0.0,0,87.5
Chris Manhertz,JAX,2,1,7,0,,7,7.0,0,0.0,4.0,0,,1,50.0,0,58.3
