Quarter,Time,Down,ToGo,Location,LVR,JAX,Detail,EPB,EPA
2,12:45,4,4,JAX 31,10,0,"Logan Cooke punts 53 yards, returned by Hunter Renfrow for 5 yards (tackle by Chad Muma). Penalty on Caleb Johnson: Offensive Holding, 10 yards (accepted)",-1.310,-1.000
2,12:33,1,10,LVR 31,10,0,Josh Jacobs left guard for 1 yard (tackle by Josh Allen),1.000,0.600
2,11:57,2,9,LVR 32,10,0,Derek Carr pass complete short right to Foster Moreau for 30 yards (tackle by Travon Walker),0.600,3.050
2,11:00,1,10,JAX 38,16,0,"Derek Carr pass complete deep middle to Davante Adams for 38 yards, touchdown",3.050,7.000
2,10:51,,,JAX 15,17,0,Daniel Carlson kicks extra point good,0.000,0.000
2,10:51,,,LVR 35,17,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,10:51,1,10,JAX 25,17,0,Travis Etienne left end for 9 yards (tackle by Blake Martinez),0.610,1.280
2,10:15,2,1,JAX 34,17,0,Travis Etienne left end for 3 yards (tackle by Malcolm Koonce),1.280,1.400
2,9:36,1,10,JAX 37,17,0,Trevor Lawrence pass complete short right to Zay Jones for 22 yards (tackle by Rock Ya-Sin),1.400,2.850
2,8:58,1,10,LVR 41,17,0,Travis Etienne left end for -6 yards (tackle by Neil Farrell and Blake Martinez),2.850,1.500
2,8:17,2,16,LVR 47,17,0,Trevor Lawrence pass complete short left to Travis Etienne for 8 yards (tackle by Duron Harmon and Sam Webb),1.500,1.880
2,7:32,3,8,LVR 39,17,0,Trevor Lawrence scrambles left end for 16 yards (tackle by Chandler Jones),1.880,4.040
2,6:59,1,10,LVR 23,17,0,Jamycal Hasty right guard for no gain (tackle by Blake Martinez and Andrew Billings),4.040,3.500
2,6:20,2,10,LVR 23,17,0,Trevor Lawrence pass complete short right to Travis Etienne for 9 yards (tackle by Blake Martinez),3.500,4.280
2,5:37,3,1,LVR 14,17,0,Travis Etienne up the middle for 13 yards (tackle by Duron Harmon and Rock Ya-Sin),4.280,6.970
2,4:56,1,1,LVR 1,17,6,"Travis Etienne up the middle for 1 yard, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",6.970,7.000
2,4:50,,,LVR 15,17,7,Riley Patterson kicks extra point good,0.000,0.000
2,4:50,,,JAX 35,17,7,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
2,4:50,1,10,LVR 25,17,7,Derek Carr pass complete short left to Davante Adams for 9 yards (tackle by Tyson Campbell),0.610,1.280
2,4:06,2,1,LVR 34,17,7,Josh Jacobs right guard for 1 yard (tackle by Folorunso Fatukasi),1.280,1.270
2,3:23,1,10,LVR 35,17,7,Josh Jacobs up the middle for 12 yards (tackle by Roy Robertson-Harris),1.270,2.060
2,2:42,1,10,LVR 47,17,7,Josh Jacobs left guard for 3 yards (tackle by Darious Williams and DaVon Hamilton),2.060,1.920
2,2:00,2,7,JAX 50,17,7,Derek Carr pass complete short left to Davante Adams for 11 yards (tackle by Foyesade Oluokun),1.920,2.980
2,1:51,1,10,JAX 39,17,7,Josh Jacobs up the middle for 12 yards (tackle by Tre Herndon),2.980,3.780
2,1:06,1,10,JAX 27,17,7,Derek Carr pass complete short left to Mack Hollins for 4 yards (tackle by Tre Herndon),3.780,3.770
2,1:01,2,6,JAX 23,17,7,Josh Jacobs left guard for 3 yards (tackle by Travon Walker and Rayshawn Jenkins),3.770,3.470
2,0:55,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:55,3,3,JAX 20,17,7,Derek Carr pass incomplete deep left intended for Ameer Abdullah (defended by Chad Muma),3.470,2.220
2,0:50,4,3,JAX 20,20,7,Daniel Carlson 38 yard field goal good,2.220,3.000
2,0:45,,,LVR 35,20,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:45,1,10,JAX 25,20,7,Trevor Lawrence pass complete short left to Marvin Jones for 7 yards,0.610,1.010
2,0:40,2,3,JAX 32,20,7,Trevor Lawrence pass incomplete deep left intended for Marvin Jones (defended by Anthony Averett),1.010,0.300
2,0:34,3,3,JAX 32,20,7,Trevor Lawrence scrambles up the middle for 24 yards (tackle by Duron Harmon),0.300,2.650
2,0:26,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:26,1,10,LVR 44,20,7,Trevor Lawrence pass complete short left to Zay Jones for 6 yards (tackle by Anthony Averett),2.650,2.920
2,0:21,2,4,LVR 38,20,7,Trevor Lawrence pass complete short left to Zay Jones for 6 yards (tackle by Johnathan Abram),2.920,3.450
2,0:16,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:16,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:16,1,10,LVR 32,20,7,Trevor Lawrence pass complete short middle to Christian Kirk for 6 yards (tackle by Blake Martinez),3.450,3.710
2,0:06,2,4,LVR 26,20,7,Trevor Lawrence spiked the ball,3.710,3.010
2,0:03,3,4,LVR 26,20,10,Riley Patterson 44 yard field goal good,3.010,3.000
Quarter,Time,Down,ToGo,Location,LVR,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,20,10,"Daniel Carlson kicks off 62 yards, returned by Jamal Agnew for 52 yards (tackle by Sam Webb)",0.000,2.590
3,14:51,1,10,LVR 45,20,10,Trevor Lawrence left end for 5 yards (tackle by Denzel Perryman),2.590,2.720
3,14:11,2,5,LVR 40,20,10,"Trevor Lawrence pass complete short left to Christian Kirk for 12 yards. Penalty on Amik Robertson: Defensive Holding, 5 yards (declined)",2.720,3.710
3,13:57,1,10,LVR 28,20,10,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by Rock Ya-Sin),3.710,4.110
3,13:25,2,3,LVR 21,20,10,Travis Etienne up the middle for 2 yards (tackle by Bilal Nichols and Denzel Perryman),4.110,3.720
3,12:46,3,1,LVR 19,20,10,Travis Etienne left end for 5 yards (tackle by Denzel Perryman),3.720,4.650
3,12:06,1,10,LVR 14,20,10,Trevor Lawrence pass complete short right to Evan Engram for 8 yards (tackle by Denzel Perryman and Trevon Moehrig),4.650,5.470
3,11:34,2,2,LVR 6,20,10,Travis Etienne up the middle for 5 yards (tackle by Clelin Ferrell and Duron Harmon),5.470,6.970
3,11:12,1,1,LVR 1,20,10,"Travis Etienne for no gain (tackle by Clelin Ferrell). Penalty on Brandon Scherff: Offensive Holding, 10 yards (accepted) (no play)",6.970,4.770
3,11:00,1,11,LVR 11,20,10,Trevor Lawrence pass complete short left to Christian Kirk for 4 yards (tackle by Anthony Averett),4.770,4.760
3,10:20,2,7,LVR 7,20,16,"Trevor Lawrence pass complete short right to Christian Kirk for 7 yards, touchdown",4.760,7.000
3,10:15,,,LVR 15,20,17,Riley Patterson kicks extra point good,0.000,0.000
3,10:15,,,JAX 35,20,17,"Penalty on Roderic Teamer: Defensive Offside, 5 yards (accepted) (no play)",0.000,0.000
3,10:15,,,JAX 40,20,17,"Riley Patterson kicks off 56 yards, returned by Ameer Abdullah for 14 yards (tackle by Andrew Wingard and Shaquille Quarterman)",0.000,0.040
3,10:09,1,10,LVR 18,20,17,Josh Jacobs left guard for 8 yards (tackle by Foyesade Oluokun and Andre Cisco),0.040,0.680
3,9:30,2,2,LVR 26,20,17,Josh Jacobs left guard for 15 yards (tackle by Darious Williams and Josh Allen),0.680,1.660
3,8:48,1,10,LVR 41,20,17,Zamir White left end for -1 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),1.660,0.990
3,8:05,2,11,LVR 40,20,17,Derek Carr pass complete short left to Davante Adams for no gain (tackle by Foyesade Oluokun),0.990,0.300
3,7:15,3,11,LVR 40,20,17,Derek Carr pass incomplete deep middle intended for Mack Hollins (defended by Andre Cisco),0.300,-0.720
3,7:10,4,11,LVR 40,20,17,AJ Cole punts 42 yards out of bounds,-0.720,-0.040
3,7:02,1,10,JAX 18,20,17,Trevor Lawrence pass complete short left to Luke Farrell for 15 yards (tackle by Trevon Moehrig),0.040,1.140
3,6:27,1,10,JAX 33,20,17,Travis Etienne right end for 3 yards (tackle by Maxx Crosby and Andrew Billings),1.140,1.000
3,5:52,2,7,JAX 36,20,17,Trevor Lawrence pass complete short right to Zay Jones for 5 yards (tackle by Duron Harmon),1.000,0.960
3,5:17,3,2,JAX 41,20,17,Trevor Lawrence pass complete short right to Marvin Jones for 11 yards (tackle by Duron Harmon),0.960,2.390
3,4:33,1,10,LVR 48,20,17,Travis Etienne right end for 2 yards (tackle by Andrew Billings and Maxx Crosby),2.390,2.120
3,3:53,2,8,LVR 46,20,17,Trevor Lawrence pass complete short left to Dan Arnold for 19 yards (tackle by Anthony Averett),2.120,3.780
3,3:16,1,10,LVR 27,20,17,Jamycal Hasty up the middle for 4 yards (tackle by Matthew Butler and Luke Masterson),3.780,3.770
3,2:43,2,6,LVR 23,20,17,Jamycal Hasty up the middle for 2 yards (tackle by Johnathan Abram),3.770,3.340
3,2:03,3,4,LVR 21,20,17,Trevor Lawrence pass complete short middle to Christian Kirk for 7 yards (tackle by Maxx Crosby),3.340,4.650
3,1:23,1,10,LVR 14,20,17,Travis Etienne right end for 8 yards (tackle by Blake Martinez and Johnathan Abram),4.650,5.470
3,0:43,2,2,LVR 6,20,17,Travis Etienne up the middle for 1 yard (tackle by Denzel Perryman),5.470,4.960
Quarter,Time,Down,ToGo,Location,LVR,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,LVR 5,20,23,"Travis Etienne right end for 5 yards, touchdown",4.960,7.000
4,14:56,,,LVR 15,20,24,Riley Patterson kicks extra point good,0.000,0.000
4,14:56,,,JAX 35,20,24,"Penalty on Andrew Billings: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.000,0.000
4,14:56,,,JAX 50,20,24,"Riley Patterson kicks off 44 yards, returned by Ameer Abdullah for 7 yards (tackle by Andrew Wingard). Penalty on Andre Cisco: Offside on Free Kick, 5 yards (accepted)",0.000,0.040
4,14:52,1,10,LVR 18,20,24,Derek Carr pass complete short left to Josh Jacobs for 13 yards (tackle by Montaric Brown and Andre Cisco),0.040,1.000
4,14:18,1,10,LVR 31,20,24,Derek Carr pass incomplete short middle intended for Davante Adams,1.000,0.460
4,14:13,2,10,LVR 31,20,24,Josh Jacobs up the middle for 1 yard (tackle by Arden Key and Folorunso Fatukasi),0.460,-0.100
4,13:29,3,9,LVR 32,20,24,Derek Carr pass complete short middle to Foster Moreau for 12 yards (tackle by Montaric Brown),-0.100,1.860
4,12:47,1,10,LVR 44,20,24,Josh Jacobs right end for 8 yards (tackle by Andre Cisco and Josh Allen),1.860,2.400
4,12:07,2,2,JAX 48,20,24,Josh Jacobs up the middle for 3 yards (tackle by Rayshawn Jenkins and Corey Peters),2.400,2.590
4,11:27,1,10,JAX 45,20,24,Josh Jacobs right guard for -2 yards (tackle by DaVon Hamilton),2.590,1.770
4,10:49,2,12,JAX 47,20,24,Josh Jacobs right guard for 2 yards (tackle by Folorunso Fatukasi and DaVon Hamilton),1.770,1.360
4,10:10,3,10,JAX 45,20,24,Derek Carr pass incomplete short right intended for Davante Adams,1.360,0.270
4,10:04,4,10,JAX 45,20,24,"AJ Cole punts 36 yards, fair catch by Jamal Agnew at JAC-9",0.270,0.380
4,9:56,1,10,JAX 9,20,24,Travis Etienne up the middle for -1 yards (tackle by Andrew Billings),-0.380,-0.850
4,9:21,2,11,JAX 8,20,24,"Trevor Lawrence pass complete short left to Marvin Jones for 15 yards (tackle by Anthony Averett). Penalty on Anthony Averett: Defensive Holding, 5 yards (declined)",-0.850,0.480
4,9:01,1,10,JAX 23,20,24,Travis Etienne up the middle for no gain (tackle by Denzel Perryman and Bilal Nichols),0.480,-0.070
4,8:21,2,10,JAX 23,20,24,Trevor Lawrence pass complete short middle to Chris Manhertz for 7 yards (tackle by Blake Martinez),-0.070,0.170
4,7:44,3,3,JAX 30,20,24,Trevor Lawrence pass incomplete short right intended for Christian Kirk (defended by Clelin Ferrell),0.170,-1.370
4,7:41,4,3,JAX 30,20,24,"Logan Cooke punts 50 yards, returned by Hunter Renfrow for 7 yards (tackle by Luke Farrell)",-1.370,-0.740
4,7:28,1,10,LVR 27,20,24,Derek Carr pass incomplete short middle intended for Davante Adams,0.740,0.200
4,7:24,2,10,LVR 27,20,24,Derek Carr pass complete short right to Josh Jacobs for 3 yards (tackle by Andrew Wingard),0.200,-0.100
4,6:37,3,7,LVR 30,20,24,Derek Carr pass incomplete short right intended for Ameer Abdullah,-0.100,-1.370
4,6:30,4,7,LVR 30,20,24,"Penalty on Mack Hollins: False Start, 5 yards (accepted) (no play)",-1.370,-1.700
4,6:30,4,12,LVR 25,20,24,"AJ Cole punts 60 yards, returned by Jamal Agnew for 3 yards (tackle by Brandon Bolden)",-1.700,-0.040
4,6:19,1,10,JAX 18,20,24,Travis Etienne left end for 16 yards (tackle by Denzel Perryman),0.040,1.200
4,5:38,1,10,JAX 34,20,24,Trevor Lawrence pass complete short right to Zay Jones for 1 yard (tackle by Johnathan Abram),1.200,0.790
4,5:07,2,9,JAX 35,20,24,Trevor Lawrence pass complete short right to Jamycal Hasty for 5 yards (tackle by Rock Ya-Sin),0.790,0.760
4,4:18,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,4:18,3,4,JAX 40,20,24,Trevor Lawrence pass complete short left to Christian Kirk for 10 yards (tackle by Anthony Averett),0.760,2.260
4,4:14,1,10,JAX 50,20,24,Travis Etienne up the middle for 18 yards (tackle by Blake Martinez),2.260,3.450
4,3:26,1,10,LVR 32,20,24,Travis Etienne right guard for 6 yards (tackle by Duron Harmon and Blake Martinez),3.450,3.710
4,3:18,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:18,2,4,LVR 26,20,24,Travis Etienne up the middle for 3 yards (tackle by Luke Masterson and Neil Farrell),3.710,3.400
4,3:12,,,,,,Timeout #2 by Las Vegas Raiders,,
4,3:12,3,1,LVR 23,20,24,Travis Etienne left guard for no gain (tackle by Blake Martinez),3.400,2.080
4,3:08,,,,,,Timeout #3 by Las Vegas Raiders,,
4,3:08,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,3:08,4,1,LVR 23,20,24,Riley Patterson 41 yard field goal no good,2.080,-1.000
4,3:03,1,10,LVR 31,20,24,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Foyesade Oluokun),1.000,1.540
4,2:41,2,2,LVR 39,20,24,Derek Carr pass incomplete deep left intended for Davante Adams (defended by Tyson Campbell),1.540,0.830
4,2:34,3,2,LVR 39,20,24,Derek Carr pass incomplete deep left intended for Davante Adams,0.830,-0.780
4,2:30,4,2,LVR 39,20,24,Derek Carr pass incomplete short middle intended for Hunter Renfrow,-0.780,-2.980
