Unnamed: 0,LVR,JAX
First Downs,16,22
Rush-Yds-TDs,19-73-0,37-168-2
Cmp-Att-Yd-TD-INT,21-36-259-2-0,25-31-235-1-0
Sacked-Yards,2-11,0-0
Net Pass Yards,248,235
Total Yards,321,403
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,5-45,4-30
Third Down Conv.,3-12,9-15
Fourth Down Conv.,1-3,0-0
Time of Possession,27:35,32:25
