Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Kendrick Bourne,NWE,11,10,89,0,2,25,2.5,64,6.4,2.0,1,10.0,0,0.0,0,100.4
Rhamondre Stevenson,NWE,6,5,24,0,0,3,0.6,21,4.2,0.3,0,,1,16.7,0,83.3
Mike Gesicki,NWE,3,3,28,0,2,16,5.3,12,4.0,5.3,0,,0,0.0,0,105.6
Pharaoh Brown,NWE,1,1,15,0,1,4,4.0,11,11.0,4.0,0,,0,0.0,0,118.7
Ezekiel Elliott,NWE,1,1,15,0,1,-1,-1.0,16,16.0,-1.0,0,,0,0.0,0,118.7
Hunter Henry,NWE,3,1,7,0,,-5,-5.0,12,12.0,6.7,0,,0,0.0,1,2.8
Tyquan Thornton,NWE,2,1,6,0,,6,6.0,0,0.0,25.5,0,,0,0.0,0,56.2
Ty Montgomery,NWE,1,1,9,0,1,4,4.0,5,5.0,4.0,0,,0,0.0,0,104.2
DeVante Parker,NWE,3,1,7,0,,7,7.0,0,0.0,17.7,0,,1,33.3,0,42.4
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Michael Mayer,LVR,6,5,75,0,4,41,8.2,34,6.8,8.2,0,,0,0.0,0,118.7
Jakobi Meyers,LVR,7,5,61,1,4,51,10.2,10,2.0,11.3,0,,0,0.0,0,137.5
Josh Jacobs,LVR,5,2,16,0,1,7,3.5,9,4.5,1.8,0,,0,0.0,0,48.7
Zamir White,LVR,2,2,7,0,,7,3.5,0,0.0,3.5,0,,0,0.0,0,81.2
Tre Tucker,LVR,2,2,57,0,1,46,23.0,11,5.5,23.0,0,,0,0.0,0,118.7
Austin Hooper,LVR,2,2,19,0,1,6,3.0,13,6.5,3.0,0,,0,0.0,0,106.2
Davante Adams,LVR,5,2,29,0,1,23,11.5,6,3.0,12.2,0,,0,0.0,1,20.0
Ameer Abdullah,LVR,1,0,0,0,,0,,0,,-9.0,0,,0,0.0,0,39.6
DeAndre Carter,LVR,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6
