Quarter,Time,Tm,Detail,ATL,TAM
1,10:33,Falcons,Ty Sambrailo 35 yard pass from Matt Ryan (Younghoe Koo kick),7,0
,6:55,Falcons,Younghoe Koo 27 yard field goal,10,0
2,10:23,Buccaneers,Cameron Brate 2 yard pass from Jameis Winston (Matt Gay kick),10,7
,5:20,Falcons,Younghoe Koo 33 yard field goal,13,7
,3:07,Buccaneers,Devin White 91 yard fumble return (Matt Gay kick),13,14
,0:58,Falcons,Younghoe Koo 45 yard field goal,16,14
,0:11,Buccaneers,Breshad Perriman 24 yard pass from Jameis Winston (Jameis Winston run),16,22
4,6:27,Falcons,Younghoe Koo 43 yard field goal,19,22
,10:00,Falcons,Younghoe Koo 33 yard field goal,22,22
OT,9:53,Falcons,Deion Jones 27 yard interception return,28,22
