Unnamed: 0,ATL,TAM
First Downs,28,14
Rush-Yds-TDs,30-87-0,21-136-0
Cmp-Att-Yd-TD-INT,30-51-313-1-0,13-24-201-2-2
Sacked-Yards,6-27,1-8
Net Pass Yards,286,193
Total Yards,373,329
Fumbles-Lost,1-1,3-1
Turnovers,1,3
Penalties-Yards,5-53,12-97
Third Down Conv.,7-18,1-8
Fourth Down Conv.,1-3,1-1
Time of Possession,36:22,23:45
