Quarter,Time,Tm,Detail,NOR,TAM
1.0,8:11,Saints,Marques Colston 15 yard pass from Drew Brees (John Carney kick),7,0
,5:35,Saints,Devery Henderson 52 yard pass from Drew Brees (John Carney kick),14,0
2.0,14:12,Saints,John Carney 46 yard field goal,17,0
,3:01,Buccaneers,Joey Galloway 44 yard pass from Bruce Gradkowski (Matt Bryant kick),17,7
,0:07,Buccaneers,Joey Galloway 17 yard pass from Bruce Gradkowski (Matt Bryant kick),17,14
3.0,5:59,Saints,Deuce McAllister 3 yard rush (John Carney kick),24,14
,0:33,Saints,Devery Henderson 45 yard pass from Drew Brees (John Carney kick),31,14
