Unnamed: 0,NOR,TAM
First Downs,19,11
Rush-Yds-TDs,35-49-1,18-68-0
Cmp-Att-Yd-TD-INT,24-32-314-3-0,18-31-185-2-0
Sacked-Yards,0-0,4-27
Net Pass Yards,314,158
Total Yards,363,226
Fumbles-Lost,1-0,4-1
Turnovers,0,1
Penalties-Yards,4-25,4-25
Third Down Conv.,9-17,4-14
Fourth Down Conv.,0-1,0-1
Time of Possession,37:21,22:39
