Unnamed: 0,SEA,WAS
First Downs,20,14
Rush-Yds-TDs,36-225-1,17-32-0
Cmp-Att-Yd-TD-INT,18-24-201-2-0,21-36-283-2-0
Sacked-Yards,3-23,1-8
Net Pass Yards,178,275
Total Yards,403,307
Fumbles-Lost,2-0,1-0
Turnovers,0,0
Penalties-Yards,13-90,3-30
Third Down Conv.,5-14,3-12
Fourth Down Conv.,1-1,0-0
Time of Possession,34:56,25:04
